"uuid","name","description","class","shortname","child.1","child.2","child.3","child.4","child.5","child.6","child.7","child.8","child.9","child.10","child.11","child.12","child.13","child.14","child.15","child.16","child.17","child.18","child.19","child.20","child.21","child.22","child.23","child.24","child.25","child.26","child.27","child.28","child.29","child.30","child.31","child.32","child.33","child.34","child.35","child.36","child.37","child.38","child.39","child.40","child.41","child.42","child.43","child.44","child.45","child.46","child.47","child.48","child.49","child.50","child.51","child.52","child.53","child.54","child.55","child.56","child.57","child.58","child.59","child.60","child.61","child.62","child.63","child.64","child.65","child.66","child.67","child.68","reference-term-source","reference-term-code","reference-term-relationship"
"2586bc07-103a-4db8-9dc2-68d802329bc1","Urine Output Data",,"Concept Details","Urine Output","Urine Output","Urine Output Abnormal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"577d4c6b-9bc6-11e3-927e-8840ab96f0f1","Vitals",,"Misc","Vitals","Blood Pressure","Pulse Data","Temperature Data","RR Data","SPO2 Data","Vitals Notes","Urine Output Data","LMP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f47713d2-e349-11e3-983a-91270dcbd3bf","Systolic Data",,"Concept Details","Systolic","Systolic","Systolic Abnormal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f479522f-e349-11e3-983a-91270dcbd3bf","Diastolic Data",,"Concept Details","Diastolic","Diastolic","Diastolic Abnormal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f4762e56-e349-11e3-983a-91270dcbd3bf","Blood Pressure",,"ConvSet","Blood Pressure","Systolic Data","Diastolic Data","Posture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f469bd37-e349-11e3-983a-91270dcbd3bf","Pulse Data",,"Concept Details","Pulse","Pulse","Pulse Abnormal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f481a57a-e349-11e3-983a-91270dcbd3bf","Temperature Data",,"Concept Details","Temperature","Temperature","Temperature Abnormal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f48400c3-e349-11e3-983a-91270dcbd3bf","RR Data",,"Concept Details","RR","RR","RR Abnormal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f48634c5-e349-11e3-983a-91270dcbd3bf","SPO2 Data",,"Concept Details","SPO2","SPO2","SPO2 Abnormal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"2586bc07-103a-4db8-9dc2-68d802329bc1","Urine Output Data",,"Concept Details","Urine Output","Urine Output","Urine Output Abnormal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"fc4191eb-e349-11e3-983a-91270dcbd3bf","Second Vitals",,"Misc","Second Vitals","Blood Pressure","Pulse Data","Temperature Data","RR Data","SPO2 Data","Vitals Notes","Urine Output Data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"15a4eb15-f113-49d5-99d6-7478c2971780","Obstetrics, Menstrual History",,"Misc","Menstrual History","Obstetrics, Menstrual Cycle Days","Obstetrics, Menstrual Cycle Interval","Obstetrics, Menstrual Cycle Amount","Obstetrics, Last Menstrual Period","Estimated Date of Delivery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"07423af9-3060-47dc-bc36-827f97145171","Obstetrics, Obstetrical History",,"Misc","Obstetrical History","Obstetrics, Gravida","Obstetrics, Parity","Obstetrics, Live Births","Obstetrics, Abortion","Obstetrics, Bad Obstetrical History","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f5b15161-b540-4ad7-87c6-1babac176ced","Obstetrics, P/A (per abdomen)",,"ConvSet","P/A (per abdomen)","Obstetrics, Fundal Height","Obstetrics, P/A Presenting Part","Obstetrics, Fetal Heart Sound","Obstetrics, Amount of Liquor","Obstetrics, Contractions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"abe3dd57-0fd1-453b-80dc-9bf3ddd1ee29","Obstetrics, P/V (per vaginal)",,"ConvSet","P/V (per vaginal)","Obstetrics, P/V Presenting Part","OS","Obstetrics, Membrane","Obstetrics, Liquor","Obstetrics, Effacement of Cervix","Obstetrics, Cervical Dilation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"6d8a78c3-43af-4ea7-ad14-bfe50a872e8a","Obstetrics",,"Misc",,"Obstetrics, Menstrual History","Obstetrics, Obstetrical History","Obstetrics, Tetanus Vaccination Taken","Obstetrics, P/A (per abdomen)","Obstetrics, P/V (per vaginal)","Obstetrics, Ultrasound Findings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f7615660-f60f-427e-a7c6-9ceab76109f4","Ayushman Bharat Package Data",,"Concept Details","Ayushman Bharat Package","Ayushman Bharat Package List","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"b609d7de-be2d-453d-8206-f2b3711a5ca7","Ayushman Bharat Template",,"Misc",,"Ayushman Bharat Package Data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"3d4cbf52-9dab-4e55-8957-e9319fa603b8","Consultation Images",,"Misc",,"Image","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"920dea34-b0e5-4991-9d09-998ba1767b08","Gynaecology, Menstrual History",,"Misc","Menstrual History","Gynaecology, Menstrual Cycle","Gynaecology, Menstrual Cycle Days","Gynaecology, Menstrual Cycle Interval","Gynaecology, Menstrual Cycle Amount","Gynaecology, Last Menstrual Period","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"32a4825d-5c34-4d50-90a4-92aeb28ef105","Gynaecology, Obstetrical History",,"Misc","Obstetrical History","Gynaecology, Gravida","Gynaecology, Parity","Gynaecology, Live Births","Gynaecology, Abortion","Gynaecology, Bad Obstetrical History","Gynaecology, Tubal Ligation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f3fd7311-ef4f-49f9-a7b4-e61f70992802","Gynaecology, P/S (per speculum) - Cervix",,"Misc","P/S - Cervix","Gynaecology, Cervix Size","Gynaecology, VIA Test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"6792984b-6a99-470d-9291-e4ebb6616b1c","Gynaecology, P/V (per vaginal) - Uterus",,"Misc","P/V - Uterus","Gynaecology, Uterus Size","Gynaecology, Uterus Form","Gynaecology, Uterus Position","Gynaecology, Uterus Mobility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"1b12ec33-7af8-49c4-899d-2f0482175ab1","Gynaecology",,"Misc",,"Consultation Images","Gynaecology, Menstrual History","Gynaecology, Obstetrical History","Gynaecology, P/S (per speculum) - Cervix","Gynaecology, P/V (per vaginal) - Uterus","OS","Gynaecology, Bleeding","Gynaecology, P/V Uterus Enlarged Size","Gynaecology, P/R (per rectal)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f70c2937-e349-11e3-983a-91270dcbd3bf","Discharge Summary, Surgeries and Procedures",,"ConvSet","Surgeries and Procedures","Date of Operation","Operative Procedure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f709eca4-e349-11e3-983a-91270dcbd3bf","Discharge Summary",,"ConvSet","Discharge Summary","Discharge Summary, Template","Discharge Summary, Treating Doctor","Discharge Summary, Admission Indication","Discharge Summary, Emergency Care","Hospital Course","Discharge Summary, Condition at the time of discharge","History and Examination Notes","Recent Diagnosis","Discharge Summary, Surgeries and Procedures","Discharge Summary, Surgical Indication","Follow up Date","Discharge Summary, Plan for follow up","Lab Investigation Notes","Radiology Notes","Other Notes","Advice on Discharge","Discharge Summary, Urgent Care","Emergency Contact Person","Emergency Contact Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"22cc6305-42a8-4441-9aba-f3f10c0aedc3","Diabetes, History","If patient was diagnosed and treated outside JSS","Misc","History","Diabetes, Diagnosed Date","Diabetes, Treatment Stopped Date","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"87056e57-48df-4a61-b98f-8444f4e03624","Diabetes, Examination",,"Misc","Examination","Diabetes, Peripheral Pulses","Diabetes, Sensory Charting Assessment","Diabetes, Skin fold Thickness","Diabetes, Foot Exam","Diabetes, Eye Exam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"74b7a6f1-659a-404b-bcf8-91880af48789","Diabetes, Investigations",,"Misc","Investigations","Diabetes, Electrocardiography","Diabetes, X-Ray","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"60619143-5b49-4c10-92f4-0d080cd10b8a","Diabetes Intake Template",,"ConvSet","Diabetes Intake","Diabetes, History","Diabetes, Complaint","Diabetes, Other Complaints","Diabetes, Complications","Diabetes, Other Complications","Diabetes, Examination","Diabetes, Investigations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"87056e57-48df-4a61-b98f-8444f4e03624","Diabetes, Examination",,"Misc","Examination","Diabetes, Peripheral Pulses","Diabetes, Sensory Charting Assessment","Diabetes, Skin fold Thickness","Diabetes, Foot Exam","Diabetes, Eye Exam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"74b7a6f1-659a-404b-bcf8-91880af48789","Diabetes, Investigations",,"Misc","Investigations","Diabetes, Electrocardiography","Diabetes, X-Ray","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"98344c51-46f7-4beb-9103-a5a011eadc66","Diabetes, Treatment",,"Misc","Treatment","Diabetes, Current Status","Diabetes, Treatment Outcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"d06d3277-b1ed-4eae-949c-507f6a57a39b","Diabetes Followup Template",,"Misc","Diabetes Followup","Diabetes, Doing Well","Taking Medications","Diabetes, Complaint","Diabetes, Other Complaints","Diabetes, Complications","Diabetes, Other Complications","Change in symptoms","Diabetes, Examination","Diabetes, Investigations","Diabetes, Sugar Assessment","Diabetes, Treatment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"22cc6305-42a8-4441-9aba-f3f10c0aedc3","Diabetes, History","If patient was diagnosed and treated outside JSS","Misc","History","Diabetes, Diagnosed Date","Diabetes, Treatment Stopped Date","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"a2f98a25-a075-47a7-b628-857b06b8d9e1","Diabetes Counselling Template",,"ConvSet","Diabetes Counselling","Diabetes, History","Diabetes, Insulin taken properly","Waist Circumference","Hip Circumference","Waist/Hip Ratio","Diabetes, Counselling Done","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"6d504429-6730-4fe7-95a1-9bfb7ca21782","Surgical Procedure Data",,"Concept Details","Surgical Procedure","Surgical Procedure","Surgical Procedure Non Coded","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"fd8d79e2-7b4e-479a-8e59-98e558999495","Operating Providers",,"Misc","Providers","Coded Operating Surgeon","Other Operating Surgeon","Coded Operating Assistant Surgeon","Coded Operation Anesthetist","Scrub Nurse","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"bd9f988d-7a81-4bee-bd1b-fb597dfb3b23","Operative Investigations",,"Misc","Investigations","Cytopathology Number","Histopathology Number","Intra operation specimens and results","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"4f117c0d-4dd0-475b-94ea-cae333e1b107","Operation Notes Template",,"Misc","Operation Notes","Operative Note, Type of Surgery (Procedure based)","Operative Note, Type of Surgery (Time based)","Date of Surgery","Surgical Indication","Surgical Procedure Data","Operating Providers","Anesthesia Administered","Incision","Operation Findings","Operative Drains","Operative Complications","Blood loss during operation","Operation Duration","Other Operation Notes","Operative Investigations","Surgical Speciality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"ad36ecc9-2973-49db-a912-acdd68e07d7c","Blood Transfusion, Whole Blood",,"Misc","Whole Blood","Blood Transfusion, whole blood units required","Blood Transfusion, whole blood units transfused","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"2af1e0ee-bdca-43ba-890f-d61b9b50e01f","Blood Transfusion, Platelets",,"Misc","Platelets","Blood Transfusion, platelet units required","Blood Transfusion, platelet units transfused","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"a56a3f0c-fcb2-4572-af0d-f59b19d32ea3","Blood Transfusion, Fresh Frozen Plasma (FFP)",,"Misc","Fresh Frozen Plasma (FFP)","Blood Transfusion, FFP units required","Blood Transfusion, FFP units transfused","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"b5089318-d761-4961-932a-5b004840c886","Blood Transfusion, Cryoprecipitate",,"Misc","Cryoprecipitate","Blood Transfusion, Cryoprecipitate units required","Blood Transfusion, Cryoprecipitate units transfused","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"e6661114-701b-445e-9f00-adcf58c3377e","Blood Transfusion, Albumin",,"Misc","Albumin","Blood Transfusion, Albumin units required","Blood Transfusion, Albumin units transfused","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"2f8679e1-f14c-45b0-9cf7-bb77ef231d07","Blood Transfusion Template",,"Misc","Blood Transfusion","Blood Transfusion, Whole Blood","Blood Transfusion, Platelets","Blood Transfusion, Fresh Frozen Plasma (FFP)","Blood Transfusion, Cryoprecipitate","Blood Transfusion, Albumin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"eae4fdd2-1bfc-4f59-a0b7-1bbffac72033","Tuberculosis, Symptoms & Duration",,"Concept Details","Symptoms and Duration","Tuberculosis, Symptoms","Tuberculosis, Symptoms Duration","Tuberculosis, Symptoms  duration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"6dd1f428-b93f-4c52-a293-f76a8e80faea","Tuberculosis, Past Treatment History","If past history of Tuberculosis","Misc","Past Treatment History","Tuberculosis, Duration since last treatment","Tuberculosis, Duration of last treatment","Tuberculosis, Past Treatment Facility","Tuberculosis, Past Treatment Details","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"ba99398e-230a-4390-971f-d8a8bdbf8e8d","Tuberculosis, Lymph Node",,"Misc","Lymph Node","Tuberculosis, Lymph Node Size","Tuberculosis, Lymph Node Pain","Tuberculosis, Lymph Node Discharge, Sinus, Ulcer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"38218000-fc49-4427-9001-812b166827a9","Tuberculosis, Pleural TB",,"Misc","Pleural TB","Tuberculosis, Pleural TB Respiratory Rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"8df0fcca-4ce9-47e9-accd-5b631612a836","Tuberculosis, Extrapulmonary TB",,"Misc","Extrapulmonary TB","Tuberculosis, Extrapulmonary Site","Tuberculosis, Lymph Node","Tuberculosis, Pleural TB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"89efad81-3aea-479b-9a3d-22ad42717475","Tuberculosis, X-Ray Findings",,"Misc","X-Ray Findings","Tuberculosis, X-Ray Extent","Tuberculosis, X-Ray Cavity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"046011f9-31d9-42e9-9a0d-730132e0dd44","Tuberculosis, Admission",,"Misc","Admission","Tuberculosis, Need of Admission","Tuberculosis, Indication for Admission","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"c6a677ea-5a81-49af-8bbf-f8504db27e12","Tuberculosis Intake Template",,"Misc","Tuberculosis - Intake","Tuberculosis, Symptoms & Duration","Tuberculosis, Other Symptoms","Tuberculosis, History of TB Contact","Tuberculosis, Family member died of TB","Tuberculosis, Past Treatment History","Tuberculosis, Type","Tuberculosis, Patient Category","Tuberculosis, Extrapulmonary TB","Tuberculosis, X-Ray Findings","Tuberculosis, Basis of Diagnosis","Tuberculosis, Comorbidity","Tuberculosis, Treatment Plan","Tuberculosis, Next Followup Visit","Tuberculosis, Plan for next visit","Tuberculosis, Number of Adult Family Members with Symptoms","Tuberculosis, Number of Under 5 Years Children in the Family","Tuberculosis, Admission","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"eae4fdd2-1bfc-4f59-a0b7-1bbffac72033","Tuberculosis, Symptoms & Duration",,"Concept Details","Symptoms and Duration","Tuberculosis, Symptoms","Tuberculosis, Symptoms Duration","Tuberculosis, Symptoms  duration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"2347d27c-25a2-4a91-a6c9-ceeb0847ca00","Tuberculosis, Symptoms Relief",,"Misc","Symptoms Relief","Tuberculosis, Fever","Tuberculosis, Cough","Tuberculosis, Anorexia","Tuberculosis, Chest Pain","Tuberculosis, Breathlessness","Tuberculosis Followup, Lymph Node Size","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"046011f9-31d9-42e9-9a0d-730132e0dd44","Tuberculosis, Admission",,"Misc","Admission","Tuberculosis, Need of Admission","Tuberculosis, Indication for Admission","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"81598cde-b343-4009-ae93-dd8da142fd7f","Tuberculosis Followup Template",,"Misc","Tuberculosis - Followup","Tuberculosis, Symptoms & Duration","Tuberculosis, Followup Visit","Tuberculosis, Family Screened","Tuberculosis, Weight Gain","Tuberculosis, Sensitivity Report Status","Tuberculosis, New Comorbidty Identified","Tuberculosis, Symptoms Relief","Tuberculosis, Examination","Tuberculosis, Treatment Compliance","Tuberculosis, Adverse Effects","Tuberculosis, Treatment for adverse effects","Tuberculosis, Visit Impression","Tuberculosis, Next Followup Visit","Tuberculosis, Plan for next visit","Tuberculosis, Admission","Tuberculosis, Output of Treatment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"7f42bbcb-bcad-4e1e-8c12-299e0a2cb646","Tuberculosis, Drugs Resistance Result",,"LabSet","Drugs","Tuberculosis, Rifampicin","Tuberculosis, Isoniazid","Tuberculosis, Ethambutol","Tuberculosis, Streptomycin","Tuberculosis, Kanamycin","Tuberculosis, Ethionamide","Tuberculosis, PAS","Tuberculosis, Ofloxacin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"049d8a4f-1913-4663-920c-0c66a21aa024","Tuberculosis, Drug Resistance Testing",,"Misc","Tuberculosis Drug Resistance Testing","Tuberculosis, Sample Type","Tuberculosis, Sample","Tuberculosis, Testing Centre","Tuberculosis, Test Type","Tuberculosis, Culture Report","Tuberculosis,CBNAAT Test Result","Tuberculosis, Drugs Resistance Result","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"c9d39736-1685-4ba9-a1bc-9642dbf96657","Tuberculosis Lab Template",,"Misc","Tuberculosis - Lab","Tuberculosis, Sputum Sample Collection Date","Tuberculosis, AFB (Zn Stain)","Tuberculosis, Drug Resistance Testing","Tuberculosis, Test Report Date","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"debfe3ed-1faf-4ad2-a403-adf1b09f1486","Tuberculosis Village Program Followup Template",,"Misc","Tuberculosis - Village Program Followup","Tuberculosis, Days of tablets remaining","Tuberculosis, Sputum sample collected","Tuberculosis, Symptoms present now","Tuberculosis, Adverse Effects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"7bd3f137-539b-4fff-822d-a699d095868f","Tuberculosis, Contact Screening",,"Misc","Contact Screening","Tuberculosis, Family Member Name","Tuberculosis, Family Member Age","Tuberculosis, Family Member Gender","Tuberculosis, Family Member Relation","Tuberculosis, Family Member Symptoms","Tuberculosis, Family Member Past History of Tuberculosis","Tuberculosis, Family Member Comorbidity","Tuberculosis, Family Member Referred","Tuberculosis, Family Member Treatment Plan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"57c7cab2-92b0-44ce-9570-9865a3aac5d1","Tuberculosis, Under 5 Year Mantoux Screening",,"Misc","Under 5 Year Screening","Tuberculosis, Under 5 Year Name","Tuberculosis, Under 5 Year Tuberculosis Symptoms","Tuberculosis, Under 5 Year Mantoux Test Date","Tuberculosis, Under 5 Year Mantoux Reading Date","Tuberculosis, Under 5 Year Mantoux Test Result","Tuberculosis, Under 5 Year Size of Induration","Tuberculosis, Under 5 Year Referred","Tuberculosis, Family Member Treatment Plan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
