concept,conceptuuid,conceptanswer,conceptansweruuid
Referral reason,8a56f008-a910-4d6f-b028-a95db330dbf2,Consultation with specialist at referral centre,f1ecf77c-122f-4462-8bc8-812013c80fa3
Referral reason,8a56f008-a910-4d6f-b028-a95db330dbf2,Delivery/LACS,7d0d495a-e733-4ea8-93ca-c57bf42c6ee9
Referral reason,8a56f008-a910-4d6f-b028-a95db330dbf2,Sonography,1a893a89-4984-43e1-85cc-b64fb582824c
Referral reason,8a56f008-a910-4d6f-b028-a95db330dbf2,Other,798b7942-cf58-4d4e-a529-5972942e0a7e
Referral reason,8a56f008-a910-4d6f-b028-a95db330dbf2,Seizure,cbc1b5b1-e4f9-4c0e-abe6-cc03362ff08d
Referral reason,8a56f008-a910-4d6f-b028-a95db330dbf2,Bleeding,0aeb893c-34ba-49f0-bd6f-0696fce74458
Referral reason,8a56f008-a910-4d6f-b028-a95db330dbf2,Admission at Referral centre,dad7f494-99ec-42ce-b50b-07a7450be30c
Referral reason,8a56f008-a910-4d6f-b028-a95db330dbf2,infec,8293fa19-4fd6-4942-bc93-032bc3d39e68
Referral reason,8a56f008-a910-4d6f-b028-a95db330dbf2,Infection,e668ceed-92ee-4b2f-8714-72838f11264b
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,Ganiyari,41f067f3-48a0-4f95-aee5-dcee95a8b9de
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,Other,798b7942-cf58-4d4e-a529-5972942e0a7e
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,VHW,355143bf-b812-4ec8-93e6-6795fe4f7dc9
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,District Hospital,602e1362-0c44-49d8-ac94-42a741c6273b
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,Sub Center,31a0f7f1-7b23-4436-ae0a-0a982c11077c
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,Medical college,3ab10f93-7267-4469-b81d-1f3d6c6bdc99
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,Community Health Centre,9699d4fd-a67f-4f45-8d3c-df491f27db60
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,SHW,7ac0d9a2-ff82-41e6-9f38-134904d476f9
Status of referral -1,4671094b-4fe9-42d4-a933-6cc7d0320209,Patient went to private practitioner/Hospital,3d53ba30-634f-48ff-ad34-9f7122928866
Status of referral -1,4671094b-4fe9-42d4-a933-6cc7d0320209,Seen by SHW (Home visit),3f763c22-1fb7-4421-811c-787f5b82d149
Status of referral -1,4671094b-4fe9-42d4-a933-6cc7d0320209,Other,798b7942-cf58-4d4e-a529-5972942e0a7e
Status of referral -1,4671094b-4fe9-42d4-a933-6cc7d0320209,Seen by VHW,a9896521-fa89-49d4-b892-a3a134e312a3
Status of referral -1,4671094b-4fe9-42d4-a933-6cc7d0320209,Seen by SHW (Subcenter),0f21f146-9a78-4674-b861-67dd1816583f
Status of referral -1,4671094b-4fe9-42d4-a933-6cc7d0320209,Seen by Doctor at Ganiyari,3e941fcf-fca0-43e2-ab52-af159ad68ca8
Status of referral -1,4671094b-4fe9-42d4-a933-6cc7d0320209,Patient went to traditional healer,e3bb03ee-2d89-4d4d-9111-ce238057a83a
Status of referral -1,4671094b-4fe9-42d4-a933-6cc7d0320209,Patient went to Govt. facility,2608f417-118f-4fab-a619-068c304601ee
Status of referral -1,4671094b-4fe9-42d4-a933-6cc7d0320209,Patient did not go to facility,e94a781a-462d-4706-b12c-ca6d421b0f4c
Status of referral -1,4671094b-4fe9-42d4-a933-6cc7d0320209,Patient went to Jholachap,c796a08a-9b79-4e63-a999-ab3b41a67111
Status of referral -2,9c049865-30c3-4a1f-958f-76e39714e1cd,Patient does not want to go any facility,f5edc6d4-2b76-4e3c-b8e8-cd18e4fa2781
Status of referral -2,9c049865-30c3-4a1f-958f-76e39714e1cd,Taking treatment at Jholachap,2fed2671-8103-457d-911e-06c0839f2551
Status of referral -2,9c049865-30c3-4a1f-958f-76e39714e1cd,Taking treatment at treaditional healer,a83931d8-23d0-40b6-bd52-1c26a4273b01
Status of referral -2,9c049865-30c3-4a1f-958f-76e39714e1cd,Patient is on treatment,9e147cf6-577a-46a7-8f88-2ae6420519d4
Status of referral -2,9c049865-30c3-4a1f-958f-76e39714e1cd,Default,01de3d31-cdc7-48da-8d6d-6409e74a452a
Status of referral -2,9c049865-30c3-4a1f-958f-76e39714e1cd,Other,798b7942-cf58-4d4e-a529-5972942e0a7e
Status of referred patients,d920a7c4-a8a9-4dd0-8e09-b5ab3de63565,Got complicated,2dc7cd1e-6cec-4fba-a624-abae670ec7af
Status of referred patients,d920a7c4-a8a9-4dd0-8e09-b5ab3de63565,Default,01de3d31-cdc7-48da-8d6d-6409e74a452a
Status of referred patients,d920a7c4-a8a9-4dd0-8e09-b5ab3de63565,Death,c125eec0-2bc4-4add-b1d0-7531e5ffa9c8
Status of referred patients,d920a7c4-a8a9-4dd0-8e09-b5ab3de63565,Hospitalized,abbda623-2565-4c95-86cb-21ce2f7e32a8
Status of referred patients,d920a7c4-a8a9-4dd0-8e09-b5ab3de63565,Cured,ca055965-5f64-4ca9-ba22-13763b9eb5f8
Counselling,0ac30adc-5107-4e30-9b8a-c3ef65904cf5,No,f88da2e8-6ab4-44b5-b762-233485cd25f9
Counselling,0ac30adc-5107-4e30-9b8a-c3ef65904cf5,Yes,57e20de7-10de-4391-b7ce-87b2f40d19a2
Counselling,0ac30adc-5107-4e30-9b8a-c3ef65904cf5,Yes,57e20de7-10de-4391-b7ce-87b2f40d19a2
Counselling,0ac30adc-5107-4e30-9b8a-c3ef65904cf5,No,f88da2e8-6ab4-44b5-b762-233485cd25f9
Family Planning Benefits for Women,dfe26772-b418-4741-a80b-30fcbe452b5f,Counselling,0ac30adc-5107-4e30-9b8a-c3ef65904cf5
The benefits of family planning to the child,af57d463-f260-4a58-8b08-18f754d0a5e2,Counselling,0ac30adc-5107-4e30-9b8a-c3ef65904cf5
Risks of not adopting family planning,99593b34-a7f6-445f-aa59-7550f8c0f648,Counselling,0ac30adc-5107-4e30-9b8a-c3ef65904cf5
The exact time and interval of pregnancy,9aa87afd-8d1f-4870-9638-7a3b6aefa36d,Counselling,0ac30adc-5107-4e30-9b8a-c3ef65904cf5
When is the possibility of the next pregnancy after delivery?,2e5288f0-1f4b-4c72-bd6d-ae4fa072a1d9,Counselling,0ac30adc-5107-4e30-9b8a-c3ef65904cf5
Have you thought about using any contraceptive,d833658b-ce1f-412d-bc34-086f8d1ba50d,Counselling,0ac30adc-5107-4e30-9b8a-c3ef65904cf5
"If she had not thought about any contraceptive method, then tell about different methods.",1d7ed26e-17f8-4d27-b5e5-a0fc61336032,Counselling,0ac30adc-5107-4e30-9b8a-c3ef65904cf5
Provide detailed information about the chosen contraceptive method,35829406-7047-40a4-a970-17d029f49562,Counselling,0ac30adc-5107-4e30-9b8a-c3ef65904cf5
Repeat key points once again,65cf7297-98ff-4405-b1df-336325f4d96e,Counselling,0ac30adc-5107-4e30-9b8a-c3ef65904cf5
Give information about misconception of contraceptive methods,3eeb5be5-a74b-4cf4-805f-3b8549a5daef,Counselling,0ac30adc-5107-4e30-9b8a-c3ef65904cf5
Motivate men to adopt contraceptive method,48b372a3-b491-4c45-8d14-b99e5515daf2,Counselling,0ac30adc-5107-4e30-9b8a-c3ef65904cf5
refer the mother to subcenter or ask SHW to visit her to see for sign of sepsis,338bf574-680c-4d8b-94f9-aa2b768dadeb,Counselling point,38e42408-3f81-4e26-87dd-563a9718a6f8
refer the woman to SC or ask the SHW to make a home visit,ca2af807-ec9f-4b33-8ffa-e17075979996,Counselling point,38e42408-3f81-4e26-87dd-563a9718a6f8
refer the mother to SC/Ganiyari,c3f8600a-aebf-44ea-967e-ff93c11a5946,Counselling point,38e42408-3f81-4e26-87dd-563a9718a6f8
Womane want to use any family plannig,1ade5184-6907-4187-9186-abd12caacf05,No,f88da2e8-6ab4-44b5-b762-233485cd25f9
Womane want to use any family plannig,1ade5184-6907-4187-9186-abd12caacf05,Yes,57e20de7-10de-4391-b7ce-87b2f40d19a2
Name of ANC Clinic,7dd50376-7ba1-441c-aa0c-7ff5ce0468e2,No ANC clinic,48101a2e-4799-4bd6-98f2-afd653bc893d
Name of ANC Clinic,7dd50376-7ba1-441c-aa0c-7ff5ce0468e2,Manpur,b998c308-45b8-4bde-8e24-cc0f4a9a8e96
Name of ANC Clinic,7dd50376-7ba1-441c-aa0c-7ff5ce0468e2,Karhikachar,24afb860-4fc0-4068-ba8b-452f2748ee0e
Name of ANC Clinic,7dd50376-7ba1-441c-aa0c-7ff5ce0468e2,Semaria-1,6b44eae3-0290-40ea-b60e-677bc0cbbc1f
Name of ANC Clinic,7dd50376-7ba1-441c-aa0c-7ff5ce0468e2,Semaria-2,d3637bbf-badf-4ff8-bc10-3b184e97cadd
Name of ANC Clinic,7dd50376-7ba1-441c-aa0c-7ff5ce0468e2,Barar,cd54ed53-89e6-4129-9331-30bc35745809
Name of ANC Clinic,7dd50376-7ba1-441c-aa0c-7ff5ce0468e2,Shivtarai,85c10514-22a5-4909-aa52-2c3d533ce4d5
Name of ANC Clinic,7dd50376-7ba1-441c-aa0c-7ff5ce0468e2,Karka,8610a1b7-4482-443e-a9e2-33feed1e04b0
Name of ANC Clinic,7dd50376-7ba1-441c-aa0c-7ff5ce0468e2,Piparkhuti,9b0954ff-73db-4286-940c-d9355d6a352c
Name of ANC Clinic,7dd50376-7ba1-441c-aa0c-7ff5ce0468e2,Bamhani,aedf7360-4ef2-437f-908e-cc3d819ccf7b
Name of ANC Clinic,7dd50376-7ba1-441c-aa0c-7ff5ce0468e2,Boiraha,940ccd9d-3c8c-4795-9e65-52120544298d
Name of ANC Clinic,7dd50376-7ba1-441c-aa0c-7ff5ce0468e2,Achanakmar,1ac4611a-a6b2-4e5f-b78d-6021fcc34714
Name of ANC Clinic,7dd50376-7ba1-441c-aa0c-7ff5ce0468e2,Bijara,cb77720c-0a5f-45dc-a7a4-03d2acf35d87
Name of ANC Clinic,7dd50376-7ba1-441c-aa0c-7ff5ce0468e2,Chuiha,d97cd90f-5642-449b-b637-bb9f0d980730
Name of ANC Clinic,7dd50376-7ba1-441c-aa0c-7ff5ce0468e2,Nevsa & Karpiha,c784e3ed-fd4f-47dc-80ee-03d517836d2a
Name of ANC Clinic,7dd50376-7ba1-441c-aa0c-7ff5ce0468e2,Ghameri,c776b982-48d1-40a4-9dea-033fbd809649
Is mosquito net given,b7be4ddc-14ee-4caf-ab38-e1c87d088688,Yes,57e20de7-10de-4391-b7ce-87b2f40d19a2
Is mosquito net given,b7be4ddc-14ee-4caf-ab38-e1c87d088688,NA,7efbfba4-66d1-4510-9024-aaaedf439392
Is mosquito net given,b7be4ddc-14ee-4caf-ab38-e1c87d088688,No,f88da2e8-6ab4-44b5-b762-233485cd25f9
Is safe delivery kit given,04eecc2b-93eb-49d4-83a4-6629442711ea,No,f88da2e8-6ab4-44b5-b762-233485cd25f9
Is safe delivery kit given,04eecc2b-93eb-49d4-83a4-6629442711ea,Yes,57e20de7-10de-4391-b7ce-87b2f40d19a2
Is safe delivery kit given,04eecc2b-93eb-49d4-83a4-6629442711ea,NA,7efbfba4-66d1-4510-9024-aaaedf439392
Is mosquito net given,b7be4ddc-14ee-4caf-ab38-e1c87d088688,Yes,57e20de7-10de-4391-b7ce-87b2f40d19a2
Is mosquito net given,b7be4ddc-14ee-4caf-ab38-e1c87d088688,NA,7efbfba4-66d1-4510-9024-aaaedf439392
Is mosquito net given,b7be4ddc-14ee-4caf-ab38-e1c87d088688,No,f88da2e8-6ab4-44b5-b762-233485cd25f9
Is safe delivery kit given,04eecc2b-93eb-49d4-83a4-6629442711ea,No,f88da2e8-6ab4-44b5-b762-233485cd25f9
Is safe delivery kit given,04eecc2b-93eb-49d4-83a4-6629442711ea,NA,7efbfba4-66d1-4510-9024-aaaedf439392
Is safe delivery kit given,04eecc2b-93eb-49d4-83a4-6629442711ea,Yes,57e20de7-10de-4391-b7ce-87b2f40d19a2
New complaint,74599453-6fbd-4f8d-bf7f-34faa3c10eb9,Fever,232ae0c9-533f-48cf-8439-79aa03e23e6b
New complaint,74599453-6fbd-4f8d-bf7f-34faa3c10eb9,Swelling on face/vulva/abdomen/whole body,19003a06-5195-49ef-9f4f-52462fe6f17c
New complaint,74599453-6fbd-4f8d-bf7f-34faa3c10eb9,Breathing difficulty,a72d4345-9ff2-410b-9c2f-ed61e4ea464b
New complaint,74599453-6fbd-4f8d-bf7f-34faa3c10eb9,Other,798b7942-cf58-4d4e-a529-5972942e0a7e
New complaint,74599453-6fbd-4f8d-bf7f-34faa3c10eb9,None,8b77f487-c885-4b54-8925-153733913b10
New complaint,74599453-6fbd-4f8d-bf7f-34faa3c10eb9,Vomiting,9ad19f3b-3a8c-4e7e-81d8-12f796763291
New complaint,74599453-6fbd-4f8d-bf7f-34faa3c10eb9,Blured vision,6fabfd13-9908-4a10-9bb7-39da1d674165
New complaint,74599453-6fbd-4f8d-bf7f-34faa3c10eb9,Pain in abdomen,cb8653a9-3248-440c-aef1-17683e49233b
New complaint,74599453-6fbd-4f8d-bf7f-34faa3c10eb9,Headache,44683953-68ed-4498-81e8-924879c59117
New complaint,74599453-6fbd-4f8d-bf7f-34faa3c10eb9,Fetus is not moving,7f358e8b-08d2-4243-bb0c-dda19c4997ae
New complaint,74599453-6fbd-4f8d-bf7f-34faa3c10eb9,Burning micturition,aa43a1cd-faa2-45cc-be26-1a19b0bc9580
New complaint,74599453-6fbd-4f8d-bf7f-34faa3c10eb9,Bleeding PV,38efe56c-ba52-44b3-bca8-1d88032e3585
Mother found with pregnancy induced disease,2a3a4f97-0ca7-4498-b7ec-37225ba3d4c5,Diabetes,1928469b-a981-4579-beb7-ae47b972e671
Mother found with pregnancy induced disease,2a3a4f97-0ca7-4498-b7ec-37225ba3d4c5,Hypertension,e7e56956-effe-4cc7-85a6-f726b6bf1ffb
Mother found with pregnancy induced disease,2a3a4f97-0ca7-4498-b7ec-37225ba3d4c5,No,f88da2e8-6ab4-44b5-b762-233485cd25f9
Oedema,95dd3094-6c99-4622-8614-bf5d33a509e4,Face,4b228992-6d31-4e7a-bbcb-e319ffe672f8
Oedema,95dd3094-6c99-4622-8614-bf5d33a509e4,Entire body,21eae23f-f925-4c69-bb1e-ce330aeb4b02
Oedema,95dd3094-6c99-4622-8614-bf5d33a509e4,Vulval,f9f1945f-eb75-4ddb-b354-919afc5f53c4
Oedema,95dd3094-6c99-4622-8614-bf5d33a509e4,Pedal,5d0462d9-1c5c-42bc-a3e3-8c75cf6b6986
Oedema,95dd3094-6c99-4622-8614-bf5d33a509e4,NA,7efbfba4-66d1-4510-9024-aaaedf439392
Oedema,95dd3094-6c99-4622-8614-bf5d33a509e4,No oedema,6f511b7a-00d4-45a1-ba45-8b1ce608b014
Abdomen check,2a15dc0b-d6a0-4670-b109-4013789cb403,Hydroamniosis,2720cec8-db49-49e5-a1d7-9e1fb45d136d
Abdomen check,2a15dc0b-d6a0-4670-b109-4013789cb403,Twins,192cad34-767c-43a0-8b04-0443ca87a6a0
Abdomen check,2a15dc0b-d6a0-4670-b109-4013789cb403,Hydroamniosis/Twins,1f8d2a21-3f34-478b-9a19-2002205c4051
Abdomen check,2a15dc0b-d6a0-4670-b109-4013789cb403,None,8b77f487-c885-4b54-8925-153733913b10
Abdomen check,2a15dc0b-d6a0-4670-b109-4013789cb403,Previous C-section scar,d097c766-9539-4bf8-9efd-e6ebc77e0295
Fundle Height,f5ff8848-798a-4b0f-bcaf-33f2d4528f37,24-26,2cef8d3a-4699-46ab-8e3e-ff1d758b5b23
Fundle Height,f5ff8848-798a-4b0f-bcaf-33f2d4528f37,26-28,0c722806-f54c-40f6-aa6a-1475815dc498
Fundle Height,f5ff8848-798a-4b0f-bcaf-33f2d4528f37,28-30,230f8227-0d49-49f8-9052-0c5df27215a4
Fundle Height,f5ff8848-798a-4b0f-bcaf-33f2d4528f37,30-32,f91ae1aa-7cda-4b75-9979-dd8c141ed405
Fundle Height,f5ff8848-798a-4b0f-bcaf-33f2d4528f37,32-34,72c464db-93c7-431f-8ca2-75a4ff081482
Fundle Height,f5ff8848-798a-4b0f-bcaf-33f2d4528f37,34-36,e0451d57-3185-4ab6-9fff-f3801523f9ba
Fundle Height,f5ff8848-798a-4b0f-bcaf-33f2d4528f37,20-22,18c1a185-b33c-4dc8-816b-18365744bd13
Fundle Height,f5ff8848-798a-4b0f-bcaf-33f2d4528f37,12-14,be02d807-e70a-43a4-bb5e-dbd8e250f2c9
Fundle Height,f5ff8848-798a-4b0f-bcaf-33f2d4528f37,36-38,7340c96d-80cb-430e-b89d-ebb664293767
Fundle Height,f5ff8848-798a-4b0f-bcaf-33f2d4528f37,14-16,6fa2d5e5-b709-4690-a141-4d86d0b7c7ab
Fundle Height,f5ff8848-798a-4b0f-bcaf-33f2d4528f37,16-18,b58302a2-1050-454b-81f4-aad5e8ab3854
Fundle Height,f5ff8848-798a-4b0f-bcaf-33f2d4528f37,18-20,18fa41fe-6719-49a2-b0df-7527fbcce6bf
Fundle Height,f5ff8848-798a-4b0f-bcaf-33f2d4528f37,38-40,a7442dd5-a548-4ac9-a758-167afb326b0c
Fundle Height,f5ff8848-798a-4b0f-bcaf-33f2d4528f37,NA,7efbfba4-66d1-4510-9024-aaaedf439392
Fundle Height,f5ff8848-798a-4b0f-bcaf-33f2d4528f37,22-24,f04d5228-54b6-4c48-a412-b0dbb6abd477
Position,69a95145-505b-497a-9fc9-61fcc5d2ff59,NA,7efbfba4-66d1-4510-9024-aaaedf439392
