Form Name,Form UUID,Form Type,Concept Set (Section),Concept Set UUID,Concept Name,Concept UUID,Datatype,Class,Hierarchy Path
,,,,,30,43d2f17a-e53d-44ee-ae50-47f3c1ec40eb,N/A,Misc,
,,,,,300,b99bb5a1-f03f-4613-9daa-03e497322ce1,N/A,Misc,
,,,,,3HRZE + 6HRE,936333c5-91da-4498-8660-ff0808456236,N/A,Misc,
,,,,,3HRZE + 9HRE,59abcc2a-45f8-4718-a841-2a423bbbc5c0,N/A,Misc,
,,,,,"4 Fully disabled, confined to bed chair",3edecaa7-c659-44e5-bb56-e07c58121546,N/A,Misc,
,,,,,4 Month,3a846add-9c71-452f-8743-465ed4d17ad4,N/A,Misc,
,,,,,4 times,b0a9420c-84e7-408b-b415-6703dd31a388,N/A,Misc,
,,,,,4+,257de2be-fe43-435f-9593-3298ec0dd2f5,N/A,Misc,
,,,,,4-5 Days,885e166e-36a7-40e7-a80c-47c030556c91,N/A,Misc,
,,,,,"4.Chest symptoms (Difficulty breathing, choking, chest pain or discomfort)",33edcab7-8a0c-479d-b595-276c8eac21ad,N/A,Misc,
,,,,,4.Loss of interest in pleasurable activities,79b9f7be-b00d-4338-9c1b-c62b9413fd10,N/A,Misc,
,,,,,4.Progressive neglect of alternate/routine activities,e5f50ab3-ef9a-43ea-abbc-aeb366eaec42,N/A,Misc,
,,,,,40,f9fded51-0bd9-4caf-96a7-e1b412fc8704,N/A,Misc,
,,,,,400,4ddfcae9-6aff-4867-b1f9-0185bc642af7,N/A,Misc,
,,,,,5 Month,62067bef-db57-4c54-aa77-54ebb4dd7d5e,N/A,Misc,
,,,,,5 Years,518aef64-23c3-46fd-8155-7aec7dffb058,N/A,Misc,
,,,,,5.Abnormally depressed mood most part of the day almost daily,2febd8f2-857b-4e33-8b68-90b939ae30ba,N/A,Misc,
,,,,,5.Difficulty getting to sleep due to worrying,8f0f1ac3-a9aa-4075-974e-7b338ef560f4,N/A,Misc,
,,,,,50,fbf68983-b6d2-4caa-925a-eebf72c0a187,N/A,Misc,
,,,,,6 Month,e7029332-8b05-4a22-bcd5-975d49211852,N/A,Misc,
,,,,,6.Unreasonable and excessive guilt,5c74a3c8-fcfd-4926-8dbe-11a7e04e16bd,N/A,Misc,
,,,,,60,5b961e21-0379-4565-8a40-0f5aa7d83231,N/A,Misc,
,,,,,600,95402350-ec9c-403b-8dcb-47ddbfd419c5,N/A,Misc,
,,,,,7 Month,ec334a97-7a62-4799-9e12-a28bd82b6f72,N/A,Misc,
,,,,,7.Subjective feeling of memory loss,bb4bc2ef-0fc1-4dc8-9554-3ce8d09bde5f,N/A,Misc,
,,,,,75,93997ce4-adac-4ad1-b1e5-9c0eb9650c2e,N/A,Misc,
,,,,,8 Month,d07d6239-3c80-45f0-8f98-3ee7d7cb469e,N/A,Misc,
,,,,,8-9 Days,cac77168-fbd6-4177-bd1e-5ce92d80eeec,N/A,Misc,
,,,,,8.Slowness/difficulty in movements,45118fa7-fbac-4a10-a2d4-658c0b99f5d6,N/A,Misc,
,,,,,800,faab4d76-6b13-484d-838f-1d34e3b0fd65,N/A,Misc,
,,,,,9 Month,0ee1905e-9d28-45d5-9cfa-e6a5b0e2f86d,N/A,Misc,
,,,,,9.Multiple symptoms with no clear physical cause,e1dd90ab-1a23-4545-be22-9f01ae61b544,N/A,Misc,
,,,,,9H,f6dba1bb-33da-433a-b085-774fe8497307,N/A,Misc,
,,,,,A.C,336aaee3-1ead-4324-9999-594db762b757,N/A,Intevention List,
,,,,,ANC AS,5579b7c3-f43d-466e-b906-71e56b25ba8f,N/A,Misc,
,,,,,ANC Doctor,7fd63978-045f-4ab9-b969-fb535777d774,N/A,Misc,
,,,,,ANC Female,7845ba67-97ab-4a38-86ba-54d52562998c,N/A,Misc,
,,,,,ANC Goverment(SC/PHC/CHC/DH),1b3ef59b-0327-4417-b787-9b03c8ca95b5,N/A,Misc,
,,,,,ANC Home,8981a3d0-4802-43c7-862c-549a2eff8e0c,N/A,Misc,
,,,,,ANC JSS Dai,8c3a4840-7fc0-41bb-a83e-a99b7b0e70b4,N/A,Misc,
,,,,,ANC JSS Ganiyari,40080d31-12b2-4c39-a268-875c98ed4f8b,N/A,Misc,
,,,,,ANC JSS SubCentre,b91cbbc9-98d3-42a0-8c17-7bc168eddbc1,N/A,Misc,
,,,,,ANC Jaundice,43c43b0a-765d-443b-91fa-11105bd55eec,N/A,Misc,
,,,,,ANC Male,ff67544e-0d1b-4a30-8d0f-000ac639a115,N/A,Misc,
,,,,,ANC Mitanin,d4b62bd4-bef7-4855-8183-4208163e0d03,N/A,Misc,
,,,,,ANC Nurse,8be26a1e-11b0-4d47-8fd9-8687c4526e0e,N/A,Misc,
,,,,,ANC Other Dai,ddfdb416-6f36-4ad9-a1a3-51f741a5851f,N/A,Misc,
,,,,,ANC Private,ac41b319-2c23-428b-8e47-8f977c53a616,N/A,Misc,
,,,,,ANC SHW,050d50b4-f83d-4a16-8bf8-6493e97d3a27,N/A,Misc,
,,,,,ANC SS,1f6f48c1-abe9-4da3-8479-ef9ae34d129d,N/A,Misc,
,,,,,ANC Self,c4f17427-42d4-4b87-955b-1cc26a91a1f4,N/A,Misc,
,,,,,ANC Unknown,9f0915b4-826a-47ce-be55-4c66cef28aae,N/A,Misc,
,,,,,ANC VHW,387804ec-499b-4201-b1b4-d97cbbb99da9,N/A,Misc,
,,,,,"ANC, 12-14",006116c4-cc98-4883-b80e-df7cbe651d5f,N/A,Misc,
,,,,,"ANC, 14-16",b6f127cc-9ac0-46d2-b6fe-d19e3d6cfbbe,N/A,Misc,
,,,,,"ANC, 16-18",9f2efecd-0f70-4bdc-af50-744e427be8ff,N/A,Misc,
,,,,,"ANC, 18-20",31bbaf62-e380-4b5f-b84e-b3d86fa1659c,N/A,Misc,
,,,,,"ANC, 20-22",76dfe9ea-1efc-4100-a597-b33f69d26ef6,N/A,Misc,
,,,,,"ANC, 22-24",3b9e787f-0cbc-454c-b021-7a965878e0e6,N/A,Misc,
,,,,,"ANC, 24-26",6ebe60b1-4c4f-467b-a033-23ecb0786727,N/A,Misc,
,,,,,"ANC, 26-28",f02283ef-c1a4-468a-ae48-20c7017b5fa5,N/A,Misc,
,,,,,"ANC, 28-30",732bdf17-dd07-4d67-979f-2866fa8bce8c,N/A,Misc,
,,,,,"ANC, 30-32",33317dd3-ceb8-4117-8ebb-b9cd3f97b77f,N/A,Misc,
,,,,,"ANC, 32-34",8e3d2124-172f-4d41-88ff-f4c9dea09cfc,N/A,Misc,
,,,,,"ANC, 34-36",c49ec3ec-769b-4810-8fee-b5597dba4c7a,N/A,Misc,
,,,,,"ANC, 36-38",0f96fae2-7184-41e1-b450-3b98dda0252a,N/A,Misc,
,,,,,"ANC, 38-40",97a26961-d327-4760-bc85-8718374dface,N/A,Misc,
,,,,,ARF Blood Transfusion,8fa1b36f-45ff-48ef-9ddb-718bc20314cb,N/A,Misc,
,,,,,ASA Class,1fedd99c-655e-4911-a3eb-452e35ebc6a2,N/A,Misc,
,,,,,ASA grade 1,b0ce5976-a100-4e2d-b4cf-b56f30ec7c0f,N/A,Misc,
,,,,,ASA grade 2,77bf9965-dc54-4d38-bb35-7ef1e8fc4eb5,N/A,Misc,
,,,,,ASA grade 3,45910244-5077-4d8e-a9ed-1c8c3c75bdd9,N/A,Misc,
,,,,,ASA grade 4,a9d3b213-fd75-42b2-96dd-91b7a155ecb8,N/A,Misc,
,,,,,Abdominal,b1fd65b4-0527-458a-bddd-dc155963fbdd,N/A,Intevention List,
,,,,,Abdominal/Pelvic Ultrasound,6f7221c2-62eb-4792-8255-e7edfd37637e,N/A,Misc,
,,,,,Absent,77f8d579-304a-48c3-826c-d67e3f1aa70f,N/A,Misc,
,,,,,Accurate Results,939acb54-73ef-4625-825d-5f97213578a6,N/A,Misc,
,,,,,Ace Inhibitor,5fce0068-1da1-4831-9ccd-23ea40c70d47,N/A,Misc,
,,,,,Acute Bronchitis,063b1e66-b9ee-48e1-9f94-5ec6081f60e5,N/A,Misc,
,,,,,Acute Febrile Illness,5c8db77b-2c7e-491f-a096-c6df905954ce,N/A,Misc,
,,,,,Acute Headache,9ab76d5e-3584-4847-9fe6-67b23a673330,N/A,Misc,
,,,,,Addiction,bc9ef530-0017-4321-bc17-f821f41c29eb,N/A,Misc,
,,,,,Adjuvant,da164ab7-b53b-4f9a-aa79-cd09959c12e8,N/A,Misc,
,,,,,Advice Extrtaction,f1670d0c-c5a1-4baa-8a18-00f19b0907e2,N/A,Misc,
,,,,,Advice RCT,25a950b6-c2f1-4321-bcfa-c677b9d30f1b,N/A,Misc,
,,,,,Affordable,cff8afe7-4bbf-4c79-bfbe-d93d79986215,N/A,Misc,
,,,,,After a NEGATIVE smear-microscopy result,94a130b0-3e67-4437-a934-528555a60e1a,N/A,Misc,
,,,,,After a POSITIVE smear-microscopy result,7873cb7d-97f6-4395-b244-9a8e8e2829bf,N/A,Misc,
,,,,,Aggression,4f61c5fe-fa45-49df-b674-09e4a55bdefc,N/A,Misc,
,,,,,Agree,be9f98db-d145-4b3d-ac59-cdc4e700ca8b,N/A,Misc,
,,,,,Aimless wandering,393e2ef7-bdcc-46ab-8637-92a5685e2f41,N/A,Misc,
,,,,,Alcohol,ae0b205c-94d8-421a-976d-04232ac64b76,N/A,Misc,
,,,,,Alive,aed06fab-9d7e-458d-b78b-58cfe7d86a95,N/A,Misc,
,,,,,All,9fdd9a5f-1155-479a-9bed-8f27255f4c33,N/A,Misc,
,,,,,Along a particular dermatome,b2bbe690-3bc2-4543-8370-33d1bbd2f55f,N/A,Misc,
,,,,,"Already taking, or about to start taking, first line ATT (Rifampicin, Isoniazid, Ethambutol and Pyrazinamide)",d2729cc5-1b42-408e-8e9e-ec1d008c138d,N/A,Misc,
,,,,,"Already taking, or about to start taking, second line ATT (use of any agent other than Rifampicin, Isoniazid, Ethambutol and Pyrazinamide)",989f0c98-91e6-4987-a6db-be18d32d22b1,N/A,Misc,
,,,,,Altered bowel habits,6fa81f2c-1f50-41e4-ac89-9df90b3713ba,N/A,Misc,
,,,,,Anaplastic Poorly Differentiated CA,8efdfee2-6e2f-4f1c-b4ba-bc332a21fc72,N/A,Misc,
,,,,,Angina,743babe0-a6e5-4b7d-8418-4269543f85e2,N/A,Misc,
,,,,,Anita,fc626184-de6c-4b57-a8eb-5af8a60b6add,N/A,Misc,
,,,,,Ankle,4e4cf648-b0f6-4ef8-8935-cf12fc2f0034,N/A,Misc,
,,,,,Annual check-up,2e7c4330-575c-4bf5-992a-64db3ed85b10,N/A,Misc,
,,,,,Anorexia,55dca0e7-e34d-11e3-983a-91270dcbd3bf,N/A,Misc,
,,,,,"Ante Natal Care, Live Birth",653b303d-1a53-4608-ae92-e025a2c05643,N/A,Misc,
,,,,,"Ante Natal Care, Medical Termination of Pregnancy (MTP)",28cebb91-36fe-47cb-bbfb-2d725a5857a4,N/A,Misc,
,,,,,"Ante Natal Care, Spontaneous Abortion",735ba25f-e2fd-4e05-b362-3687ff0ffcfd,N/A,Misc,
,,,,,"Ante Natal Care, Still Birth",6b3c3164-bcbd-4670-b245-836324a0b37b,N/A,Misc,
,,,,,Anteverted,3e8ce776-f3c2-44a5-9a94-5fdbb4db64a5,N/A,Misc,
,,,,,Antrum,65b5c83a-040b-4e74-9908-06cbc979ab80,N/A,Misc,
,,,,,Anxiety,11a3431e-ed86-11e3-8f57-746bba63c2a3,N/A,Misc,
,,,,,Anxiety symptoms,98b28445-ddc5-44e8-a6b0-16bf8c8d6718,N/A,Misc,
,,,,,Anxiety/Irritability,a62e775e-6ab1-48f5-a783-c37bc7eafaba,N/A,Misc,
,,,,,Anxious,2ab16e75-3d04-40fa-b463-b1df23ef53f5,N/A,Misc,
,,,,,Any PV bleeding,c72ca75c-12d4-4804-b589-7f05a54c19ab,N/A,Misc,
,,,,,Any Symptoms Chest pain,98e76884-9cd2-425a-bc49-8570ad9585ba,N/A,Misc,
,,,,,Any pain while passing urine,e15f77e2-4666-4513-a50f-deb50b2d3bcc,N/A,Misc,
,,,,,"Aromatase Inhibitors, Given",be8961ee-7856-436c-8196-ee49ea9859a7,N/A,Misc,
,,,,,"Aromatase Inhibitors, Not Given",5ebdda67-4c7c-4899-b2a7-60e9804b069e,N/A,Misc,
,,,,,Articular,7fa1430e-8b86-4b37-94c6-43fe339a573d,N/A,Misc,
,,,,,As an initial test before any smear-microscopy result,c5d80062-afc6-40f1-9e16-13c67983ca92,N/A,Misc,
,,,,,As it is,59b5606c-d70b-45d1-b326-4f63485ec35c,N/A,Misc,
,,,,,Associated Risk Factors Diabetes,a68ac046-ddf6-496d-b5a1-c875f13479fc,N/A,Misc,
,,,,,Associated Risk Factors Smoking,64a646d4-4f2e-4e6b-9520-84c14a05655e,N/A,Misc,
,,,,,Assuming ‘palthi’ Posture,073f6cfe-c401-485c-b81e-0a3b58b28e9a,N/A,Misc,
,,,,,Asthma,5affef02-c2dc-4925-8cf5-69848051471a,N/A,Misc,
,,,,,Asymptomatic,39616fe7-7029-42ba-90c7-73df1620d044,N/A,Misc,
,,,,,At post op day 29-30,558040d9-895a-4441-b51b-941feee7692d,N/A,Misc,
,,,,,At the time of follow up visit / suture removal (post op day 7-10),47ca8509-dc19-4889-a65f-ef140b1b38a1,N/A,Misc,
,,,,,Auditory,b14de578-22dc-421f-a485-85fd579f2de6,N/A,Misc,
,,,,,"Authority, Chief Medical and Health Officer (CMHO)",54dfda4d-c0fd-40fe-ae33-8e71f354d95c,N/A,Misc,
,,,,,"Authority, Civil Surgeon",f34edb55-2073-47de-bd6c-faf499809b45,N/A,Misc,
,,,,,"Authority, Dept of Cardiology",0d9d8910-e7fa-443d-8992-d507d238addd,N/A,Misc,
,,,,,"Authority, Dept of Nephrology",717f5d09-e71d-443b-b5e1-856ba512ff89,N/A,Misc,
,,,,,"Authority, Nodal Officer NCD / NCD-Cancer Officer",307cae71-bc23-445f-bc62-1426fa93a258,N/A,Misc,
,,,,,Average,71cbbd00-7334-439b-bbde-c5199dbe6a96,N/A,Misc,
,,,,,Avoid green vegetables,c20b65d6-4af2-4638-97f8-d387dba0a557,N/A,Misc,
,,,,,BAL,7c5222ea-7845-465b-87fc-d805bf97929c,N/A,Misc,
,,,,,Back,732cf6aa-9ee4-469f-b6c0-0218e26062b6,N/A,Misc,
,,,,,Back Leg,fc91badb-79ef-4bbb-870c-e093329f1452,N/A,Misc,
,,,,,Back of thigh,b1723dc9-123f-4581-a5f5-b34c2137184c,N/A,Misc,
,,,,,Background Diabetic Retinopathy,baf97c55-454f-4c14-bcc3-059cdd26c720,N/A,Misc,
,,,,,Bad Obs History - No,bcf14a25-befb-40e8-8bfb-95edc5c848ba,N/A,Misc,
,,,,,Bad taste in mouth,62a1db4e-0ee6-4271-999a-aa0d3d1b2d02,N/A,Misc,
,,,,,"Basis of Diagnosis, History of TB Contact",662ab429-48d1-4666-9dd8-61b09c6cc7ad,N/A,Misc,
,,,,,"Basis of Diagnosis,Fluid Analysis",9b7f087d-eabf-4e3c-a025-daa9c31afc41,N/A,Misc,
,,,,,"Be stepped-down to lesser respiratory isolation (For example, to the TB ward from a side room, or from the TB ward to a standard ward)",ac78c3bc-815f-482f-9cd5-1eb212d3d93c,N/A,Misc,
,,,,,"Be stepped-up to greater respiratory isolation (For example, to the TB ward from a standard ward, or from the TB ward to a side room)",090213aa-2ac8-4953-9e09-fbcb428e94d7,N/A,Misc,
,,,,,Bending backwards,47970e15-4cad-4147-bab6-8038d9cb61d4,N/A,Misc,
,,,,,Bending forwards,e851f2b5-e1dd-4fa1-8b15-0a804494d994,N/A,Misc,
,,,,,Beta Blocker,19d6ecf2-2b4c-42a0-9ae6-c18fd263c135,N/A,Misc,
,,,,,Big toe,e318cc85-3d95-4351-9f6f-7e893dc8949c,N/A,Misc,
,,,,,Bilateral,675b30a9-cfa5-45bb-a126-759286ea4645,N/A,Misc,
,,,,,Birth Dead,406d56df-0bd6-48fe-a261-bfc839f936b4,N/A,Misc,
,,,,,Birth Female Child,d9ab7765-cc55-43d0-a895-de4055f25daf,N/A,Misc,
,,,,,Birth IUD,0e49c3f7-c8df-4157-b8b9-0c98888daade,N/A,Misc,
,,,,,Birth LSCS,02e2bf89-3737-4f09-89e1-24a871cfdc05,N/A,Misc,
,,,,,Birth Male Child,b77fd375-1e56-4703-87ca-534ead325148,N/A,Misc,
,,,,,Birth NVD,489e97b7-a956-4634-8456-873d34ad1615,N/A,Misc,
,,,,,Birth NVD with Epi,5e95e497-a8b9-451e-9e59-9630ed2bc182,N/A,Misc,
,,,,,Birth NVD with Forceps,0e7b9069-0e01-4710-9520-eb0c60c353e4,N/A,Misc,
,,,,,Birth NVD with Vaccume,ede2dcae-e61d-4dbe-823b-3a90616df8cd,N/A,Misc,
,,,,,Birth No,858e19d0-178c-49f8-ad71-9078bee3c020,N/A,Misc,
,,,,,Birth Single,4f025ecb-8bda-4a00-ab43-c3994e94d7f4,N/A,Misc,
,,,,,Birth Still Birth,d83e15c2-bc81-43c8-9295-518527317557,N/A,Misc,
,,,,,Birth Triplet,fe9c926c-005f-4d17-92a2-b8de9b2071b3,N/A,Misc,
,,,,,Birth Twin,5d50263c-4c71-4bd2-ae5c-1c165e617507,N/A,Misc,
,,,,,Birth Yes,a810cea4-43f9-47c1-8ac0-0367d3be16a4,N/A,Misc,
,,,,,Bith LSCS with TL,37c8001b-9be3-479e-b236-a28075995cd0,N/A,Misc,
,,,,,Bizarre postures,9f6176a9-43ea-4992-ab95-e5898aa4de6e,N/A,Misc,
,,,,,Blunted,fe48a061-a8f6-4bb6-bea1-71465eed1aec,N/A,Misc,
,,,,,Blurred Vision,1101d774-ae1e-4a72-bba9-079991461452,N/A,Misc,
,,,,,Blurring of Vision,6cb6592e-6483-42bc-a0cb-1b86cb05bf7f,N/A,Misc,
,,,,,Body,0f2cbbb6-81e3-4fc7-985b-0e912a9cfdc6,N/A,Misc,
,,,,,Booked,90006bad-4b71-46c3-86e2-f4e92b5be63b,N/A,Misc,
,,,,,Both,71efed06-2916-45d6-8902-adc4997f1ff5,N/A,Misc,
,,,,,Bradycardia,cc3ab8a7-5454-43e7-af2a-888f96a51772,N/A,Misc,
,,,,,Break in Treatment,d5df6073-ae3e-4bda-97f8-4802a332006b,N/A,Misc,
,,,,,"Breast Cancer, I",052b368d-8b20-4105-9045-a8e1f2646c0d,N/A,Misc,
,,,,,"Breast Cancer, IIIa",f9c730f7-1523-4970-806a-0e8ef6f187a7,N/A,Misc,
,,,,,"Breast Cancer, IIIb",9db5ed6c-2a12-44f1-b7dd-02a95840e041,N/A,Misc,
,,,,,"Breast Cancer, IIIc",346ce820-cb1c-4b70-86bc-326875be0516,N/A,Misc,
,,,,,"Breast Cancer, IIa",f92d9897-b774-4f54-ada1-a712bafca939,N/A,Misc,
,,,,,"Breast Cancer, IIb",a96dee1d-d549-48eb-a1a0-87d0ae69f5d8,N/A,Misc,
,,,,,"Breast Cancer, IV",df6af46b-e6d5-4f9a-9db7-448932223902,N/A,Misc,
,,,,,"Breast Pathology, Cycles, Irregular",a39cad9f-b1b3-48a4-b3bd-e678ea02c986,N/A,Misc,
,,,,,"Breast Pathology, Cycles, Regular",4ce6ed49-6207-492d-8a8d-dfcca8e78d75,N/A,Misc,
,,,,,Breast tenderness,5450530d-851a-4406-8f11-fdb314f1a6c2,N/A,Misc,
,,,,,Breathlessness,18e65a93-ed86-11e3-8f57-746bba63c2a3,N/A,Misc,
,,,,,Breech Presentation,d4963326-1b24-4f78-959d-d4266927f977,N/A,Misc,
,,,,,Burning Micturition,1a2eda42-ed86-11e3-8f57-746bba63c2a3,N/A,Misc,
,,,,,Burns management-S1100001-  Total Body Surface Area Burns (TBSA) (thermal or  scald or  flame burns) (not requiring admission). Needs at least 5-6 dressing-7000,35dc02e7-435a-45bb-ad47-b467f6b2a423,N/A,Ayushman Bharat Package,
,,,,,"Burns management-S1100002-  Total Body Surface Area Burns (TBSA) (thermal or  scald or  flame burns): Upto 40; Includes TBSA skin grafted, flap cover, follow-up dressings etc. -40000",40a07110-1d2d-41b8-bfdc-4157d814aee0,N/A,Ayushman Bharat Package,
,,,,,Burns management-S1100002-  Total Body Surface Area Burns (TBSA): Upto 40 percent-40000,ec956946-328e-4f52-8b2c-a2ea97600d24,N/A,Ayushman Bharat Package,
,,,,,"Burns management-S1100003-  Total Body Surface Area Burns (TBSA) (thermal or  scald or  flame burns): 40 - 60; Includes TBSA skin grafted, flap cover, follow-up dressings etc. -50000",4ec0f3ea-9278-4e34-93fc-4623ee86c529,N/A,Ayushman Bharat Package,
,,,,,"Burns management-S1100004-  Total Body Surface Area Burns (TBSA) (thermal or  scald or  flame burns): more than 60; Includes TBSA skin grafted, flap cover, follow-up dressings etc. -80000",205d4472-bcc3-434f-a7a7-65a20f3b6314,N/A,Ayushman Bharat Package,
,,,,,"Burns management-S1100005-Electrical contact burns: Low voltage- without part of limb or limb loss; Includes TBSA skin grafted, flap cover, follow-up dressings etc. -30000",055cd535-4992-461f-a8e9-08403bc59d06,N/A,Ayushman Bharat Package,
,,,,,Burns management-S1100006-Electrical contact burns: Low voltage  Pls see description -40000,01c5fc4f-cb39-42ed-b7d0-3694cff9a594,N/A,Ayushman Bharat Package,
,,,,,"Burns management-S1100006-Electrical contact burns: Low voltage- with part of limb or limb loss; Includes   TBSA skin grafted, flap cover, follow-up dressings etc. -40000",46c1940b-fd67-4cdb-b9d3-09ebe83279bd,N/A,Ayushman Bharat Package,
,,,,,"Burns management-S1100007-Electrical contact burns: High voltage- without part of limb or limb loss; Includes   TBSA skin grafted, flap cover, follow-up dressings etc. less than -50000",157d375e-3b22-47ad-8014-fa28f2c46149,N/A,Ayushman Bharat Package,
,,,,,"Burns management-S1100008-Electrical contact burns: High voltage- with part of limb or limb loss; Includes   TBSA skin grafted, flap cover, follow-up dressings etc. less than -60000",c7378a06-020d-4f77-8422-e909074d464f,N/A,Ayushman Bharat Package,
,,,,,"Burns management-S1100009-Chemical burns: Without significant facial scarring and or or loss of function; Includes   TBSA skin grafted, flap cover, follow-up dressings etc. less than -40000",ecbe5cd5-440a-443f-a2e9-ba355653686f,N/A,Ayushman Bharat Package,
,,,,,"Burns management-S1100010-Chemical burns: With significant facial scarring and or or loss of function; Includes   TBSA skin grafted, flap cover, follow-up dressings etc. less than -60000",be472b32-7176-4011-9b70-1cc17cc5344e,N/A,Ayushman Bharat Package,
,,,,,"Burns management-S1100011-Post Burn Contracture surgeries for Functional Improvement (Package including splints, pressure garments, silicone-gel sheet and physiotherapy)-50000",150eaf59-da48-48e2-a617-0444e8de97a1,N/A,Ayushman Bharat Package,
,,,,,"Burns management-S1100012- Post Burn Contracture surgeries for Functional Improvement (Package including splints, pressure garments, silicone-gel sheet and physiotherapy)-50000",0f206023-47e2-48a8-8215-ce1d096c9c3a,N/A,Ayushman Bharat Package,
