uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,synonym.1,answer.1,answer.2,answer.3,answer.4,reference-term-source,reference-term-code,reference-term-relationship
79b02d02-099c-4988-b138-5914fc84acc8,Epilepsy referral status form,Epilepsy referral status form form,ConvSet,Epilepsy referral status form,N/A,,,,,,,,,,,
5730883f-6c77-4ff9-bddc-cb93328fc1c6,Ganiyari Lab Result Form,Ganiyari Lab Result Form form,ConvSet,Ganiyari Lab Result Form,N/A,,,,,,,,,,,
c46ae77b-a79b-48d3-94e4-c7939ceaa37d,HBNC Encounter,HBNC Encounter form,ConvSet,HBNC Encounter,N/A,,,,,,,,,,,
ff741ec1-6d14-4d86-9067-47f28c42c8b9,Heart Disease Enrolment,Heart Disease Enrolment form,ConvSet,Heart Disease Enrolment,N/A,,,,,,,,,,,
227c6d34-8094-41d0-acec-41e2d30ab8f4,Hypertension Enrolment,Hypertension Enrolment form,ConvSet,Hypertension Enrolment,N/A,,,,,,,,,,,
4e40fc65-2a68-470f-b6ba-0b0c8b8a691c,Hypertension Followup,Hypertension Followup form,ConvSet,Hypertension Followup,N/A,,,,,,,,,,,
ee3acac6-f9f0-4a08-8bd2-0d97e0f44933,Hypertension referral status,Hypertension referral status form,ConvSet,Hypertension referral status,N/A,,,,,,,,,,,
8b4fd40d-a6dd-4d87-a779-39ae0a5922ec,INH Prophylaxis follow up,INH Prophylaxis follow up form,ConvSet,INH Prophylaxis follow up,N/A,,,,,,,,,,,
4b23dc0e-3ae0-4d41-8546-35797063e123,JSSCP Registration Form,JSSCP Registration Form form,ConvSet,JSSCP Registration Form,N/A,,,,,,,,,,,
730987c7-93bc-44e7-b976-872208b9effd,Lab Investigations Results for pregnancy induced diabetes,Lab Investigations Results for pregnancy induced diabetes form,ConvSet,Lab Investigations Results for pregnancy induced diabetes,N/A,,,,,,,,,,,
ec4a09e8-13bf-47fd-9f19-2a401bc34a7a,Lab test form,Lab test form form,ConvSet,Lab test form,N/A,,,,,,,,,,,
acb3ac70-a21a-45ce-95f2-0e3c911fe06b,LJ Result Form,LJ Result Form form,ConvSet,LJ Result Form,N/A,,,,,,,,,,,
8e7ed3f8-9f68-49da-b0f0-e32b50c2465a,LPA Result Form,LPA Result Form form,ConvSet,LPA Result Form,N/A,,,,,,,,,,,
50d93ad0-3e69-43d3-859a-4c8f329cf1a7,Mental Illness Enrolment,Mental Illness Enrolment form,ConvSet,Mental Illness Enrolment,N/A,,,,,,,,,,,
4faf6f85-358a-49cc-a0b6-3f6fea90fb9b,Mother PNC,Mother PNC form,ConvSet,Mother PNC,N/A,,,,,,,,,,,
5118e629-96b5-46c7-af2c-833b3152ae0b,PPMC Encounter,PPMC Encounter form,ConvSet,PPMC Encounter,N/A,,,,,,,,,,,
353a482a-f7a8-4d54-ac9d-62b8bc19291e,Pregnancy Enrolment,Pregnancy Enrolment form,ConvSet,Pregnancy Enrolment,N/A,,,,,,,,,,,
06116860-2c71-4a7e-94f1-be53f653f0f3,Referral Status,Referral Status form,ConvSet,Referral Status,N/A,,,,,,,,,,,
3064b9a6-a101-4343-a177-16dd44867bae,Sickle cell Enrolment,Sickle cell Enrolment form,ConvSet,Sickle cell Enrolment,N/A,,,,,,,,,,,
8a254dc5-0f79-482f-9ad2-ceed3dae9d99,Sickle cell lab test,Sickle cell lab test form,ConvSet,Sickle cell lab test,N/A,,,,,,,,,,,
1fc5ac2f-d112-4512-a3a4-6922ef580ab9,Stroke Enrolment,Stroke Enrolment form,ConvSet,Stroke Enrolment,N/A,,,,,,,,,,,
4736249b-0806-475f-bc5a-f1db05999740,TB Family Screening Form,TB Family Screening Form form,ConvSet,TB Family Screening Form,N/A,,,,,,,,,,,
492e62ba-2186-4f19-b0b0-a6083eb66dd1,TB Followup,TB Followup form,ConvSet,TB Followup,N/A,,,,,,,,,,,
fe36ec7e-b245-4ea5-b2c9-d75ded4ebb03,TB - INH Prophylaxis Enrolment,TB - INH Prophylaxis Enrolment form,ConvSet,TB - INH Prophylaxis Enrolment,N/A,,,,,,,,,,,
4d114cd0-333c-4c00-ba56-897d56f69870,TB Lab results,TB Lab results form,ConvSet,TB Lab results,N/A,,,,,,,,,,,
58b108e3-189d-4b47-81a8-315614b82da1,TB referral status,TB referral status form,ConvSet,TB referral status,N/A,,,,,,,,,,,
94a73e47-1b6d-4660-b4c1-0a76c3c67bfc,TB Study Baseline Barrier and Social support assessment Encounter,TB Study Baseline Barrier and Social support assessment Encounter form,ConvSet,TB Study Baseline Barrier and Social support assessment Encounter,N/A,,,,,,,,,,,
591179da-19f1-4fcc-b8ad-94de1e38b8cb,TB Study Baseline Exam Encounter,TB Study Baseline Exam Encounter form,ConvSet,TB Study Baseline Exam Encounter,N/A,,,,,,,,,,,
66ca9d54-db70-4a12-9df7-f2fbe327751d,TB Study Baseline Labs Encounter,TB Study Baseline Labs Encounter form,ConvSet,TB Study Baseline Labs Encounter,N/A,,,,,,,,,,,
0be9aeaf-1ae1-41b5-bee3-eeced1a063d5,TB Study Baseline Treatment Encounter,TB Study Baseline Treatment Encounter form,ConvSet,TB Study Baseline Treatment Encounter,N/A,,,,,,,,,,,
69fc3c10-128b-4f06-87ed-2a1ae74bb813,TB Study Enrollment,TB Study Enrollment form,ConvSet,TB Study Enrollment,N/A,,,,,,,,,,,
ecf3ad8b-e560-46b9-840c-67c496afd455,Thyroidism Enrolment,Thyroidism Enrolment form,ConvSet,Thyroidism Enrolment,N/A,,,,,,,,,,,
9c9ae2c3-4773-492d-9e86-6c7dafbcc0e9,Treatment Form,Treatment Form form,ConvSet,Treatment Form,N/A,,,,,,,,,,,
acb1c291-6086-4f65-a4d3-6901cda4b484,Tuberculosis Enrolment,Tuberculosis Enrolment form,ConvSet,Tuberculosis Enrolment,N/A,,,,,,,,,,,
8966cd7e-03e1-481e-913d-79e2233cb588,USG Report,USG Report form,ConvSet,USG Report,N/A,,,,,,,,,,,
446b4a21-2172-493d-b475-0cf0dacf11df,Women's Health Camp Enrolment,Women's Health Camp Enrolment form,ConvSet,Women's Health Camp Enrolment,N/A,,,,,,,,,,,
5563d18e-a3a0-4d59-9d68-a9379169a814,Details,Section under form,ConvSet,Details,N/A,,,,,,,,,,,
64fbcf8a-79e3-4764-ad63-bb9ebccc0bc1,Other details,Section under form,ConvSet,Other details,N/A,,,,,,,,,,,
55a511e2-1d8a-4019-bb05-758fb5f7a8f9,Referral details,Section under form,ConvSet,Referral details,N/A,,,,,,,,,,,
3bab0ef9-333d-4dcc-9212-ffbeee0e11f5,Details,Section under form,ConvSet,Details,N/A,,,,,,,,,,,
e292ae45-0c3a-4d93-9924-973029b37835,Woman's examination,Section under form,ConvSet,Woman's examination,N/A,,,,,,,,,,,
8a01e7e4-e1ac-4397-982c-55a65acb67bb,Maternal death,Section under form,ConvSet,Maternal death,N/A,,,,,,,,,,,
75f33f74-3ac6-4472-aba6-f0c69dd971b3,Referral,Section under form,ConvSet,Referral,N/A,,,,,,,,,,,
8632126a-fc83-4d00-93f4-4bbd057101ea,Counselling,Section under form,ConvSet,Counselling,N/A,,,,,,,,,,,
833264a9-53f6-4851-8e28-d12cba14dd71,Counselling details,Section under form,ConvSet,Counselling details,N/A,,,,,,,,,,,
fde46648-ee59-48fa-a483-5af0c5c37cf3,Details,Section under form,ConvSet,Details,N/A,,,,,,,,,,,
0bb80408-e8a7-4eab-aef9-268cb4553946,ANC Visit Details,Section under form,ConvSet,ANC Visit Details,N/A,,,,,,,,,,,
b193c937-752c-4735-ac61-aca5f68b020e,Anthropometry,Section under form,ConvSet,Anthropometry,N/A,,,,,,,,,,,
c76c6300-5f5e-4646-abfd-800984c653bd,Basic details,Section under form,ConvSet,Basic details,N/A,,,,,,,,,,,
05a197d2-cba6-4134-b21f-a0b9f394e467,History and Physical examination,Section under form,ConvSet,History and Physical examination,N/A,,,,,,,,,,,
40835036-76b9-4d86-adbb-b3e9ed1db071,Lab investigations,Section under form,ConvSet,Lab investigations,N/A,,,,,,,,,,,
b7c5bb37-2f83-4c7c-97ee-73adb0d698c1,Urine Microscopy,Section under form,ConvSet,Urine Microscopy,N/A,,,,,,,,,,,
8ff2c73e-10d1-4905-80cf-e56248f4387a,Medicines & Vaccines,Section under form,ConvSet,Medicines & Vaccines,N/A,,,,,,,,,,,
fe16a7e6-ea50-4711-b5f3-afdd0e40d3d8,Next ANC Details,Section under form,ConvSet,Next ANC Details,N/A,,,,,,,,,,,
21c53019-cf6b-4adb-bfc7-5390bd77ac00,Referral Details,Section under form,ConvSet,Referral Details,N/A,,,,,,,,,,,
004ae98e-4c94-4b7e-b50d-e48f3b447c3d,USG report,Section under form,ConvSet,USG report,N/A,,,,,,,,,,,
1f46c3c8-459c-4125-81e9-b6457cdd46a1,Next visit details,Section under form,ConvSet,Next visit details,N/A,,,,,,,,,,,
490fe358-718d-4596-91bb-6ce0e8a7f224,Next visit details,Section under form,ConvSet,Next visit details,N/A,,,,,,,,,,,
9dfd812f-671c-435e-a40d-1398dd37a690,Anthropometry,Section under form,ConvSet,Anthropometry,N/A,,,,,,,,,,,
cf115593-97ba-4d3b-bd5d-e1540f3e8f38,Basic Details,Section under form,ConvSet,Basic Details,N/A,,,,,,,,,,,
dbe6d882-140c-4228-affe-c170828982f2,History and Physical examination,Section under form,ConvSet,History and Physical examination,N/A,,,,,,,,,,,
36b68a5d-f943-4dd0-9ebd-d6242c12c9bd,Lab investigations,Section under form,ConvSet,Lab investigations,N/A,,,,,,,,,,,
9128f100-5dbc-483e-8958-c037b2a11ce8,Medicine,Section under form,ConvSet,Medicine,N/A,,,,,,,,,,,
5710560e-494f-45dc-8463-cdc5fbf7172c,JSS Visit Details,Section under form,ConvSet,JSS Visit Details,N/A,,,,,,,,,,,
36fef80f-ed88-4e87-badb-7c9bf1de6f57,Referral,Section under form,ConvSet,Referral,N/A,,,,,,,,,,,
02febebb-46fa-4cfa-92b9-08266e9f0cb2,Details of next visit,Section under form,ConvSet,Details of next visit,N/A,,,,,,,,,,,
c5dab868-f04f-4a69-b1fd-5bfeed09262c,Anthropometry,Section under form,ConvSet,Anthropometry,N/A,,,,,,,,,,,
12a71b7a-7caf-4eae-9d5d-b9d18733204d,Details,Section under form,ConvSet,Details,N/A,,,,,,,,,,,
5513c8b9-7157-4a54-b6b8-b83a51844abb,Details,Section under form,ConvSet,Details,N/A,,,,,,,,,,,
d8465f9a-7002-45b1-b60e-9328adbcbd15,General,Section under form,ConvSet,General,N/A,,,,,,,,,,,
b9c2a565-eb29-44e6-98f3-5f8ca36cce25,Physical Examination,Section under form,ConvSet,Physical Examination,N/A,,,,,,,,,,,
302f5849-d3f5-4879-8a1d-94f16a4ff82b,Vitals,Section under form,ConvSet,Vitals,N/A,,,,,,,,,,,
65033ebd-4a71-4078-9ba7-74abeff95283,Details,Section under form,ConvSet,Details,N/A,,,,,,,,,,,
0adec6b2-ee11-438a-b27a-1c822febfb55,Result,Section under form,ConvSet,Result,N/A,,,,,,,,,,,
924fcbfe-4d70-454e-9acd-c1dc9c08d099,General,Section under form,ConvSet,General,N/A,,,,,,,,,,,
7b8d2606-900c-497a-9577-d63cd2307d29,Newborn observations within 30 seconds,Section under form,ConvSet,Newborn observations within 30 seconds,N/A,,,,,,,,,,,
cab86429-00cf-4d38-a7c6-f516beb19e23,Details,Section under form,ConvSet,Details,N/A,,,,,,,,,,,
74ed830f-5110-4224-8d47-f8708b97061c,Newborn observations after 5 mins,Section under form,ConvSet,Newborn observations after 5 mins,N/A,,,,,,,,,,,
ed979541-59c0-4704-9b26-578f4ad5646c,Dummy,Section under form,ConvSet,Dummy,N/A,,,,,,,,,,,
573d9f48-6665-4521-8198-def2fe6ad031,Basic Details,Section under form,ConvSet,Basic Details,N/A,,,,,,,,,,,
794fffc0-4f8e-44b3-95b5-a2866f592cc4,Personal Details,Section under form,ConvSet,Personal Details,N/A,,,,,,,,,,,
b2f4fee5-7fdf-4fe0-b48b-6d90f5afc2d6,Socio-Economic Details,Section under form,ConvSet,Socio-Economic Details,N/A,,,,,,,,,,,
0e162723-23a8-463c-ac7a-83fc97cf7329,Results,Section under form,ConvSet,Results,N/A,,,,,,,,,,,
d745f221-af22-40a2-8cfa-c1bdfc3f9c35,Details,Section under form,ConvSet,Details,N/A,,,,,,,,,,,
7cdf6a7e-27eb-4467-8549-be8aa52a3d8d,Place and Date of death,Section under form,ConvSet,Place and Date of death,N/A,,,,,,,,,,,
c089478b-6176-48ba-b42f-23f1f5354775,Cause of death,Section under form,ConvSet,Cause of death,N/A,,,,,,,,,,,
fa5a9a81-1772-4a3b-bc75-5d04d72f0fb7,Delivery Details,Section under form,ConvSet,Delivery Details,N/A,,,,,,,,,,,
733739c2-5720-4fcb-9024-765762d2b293,Other details,Section under form,ConvSet,Other details,N/A,,,,,,,,,,,
e2de37f3-334d-45a3-87a4-75b043187218,Anthropometry,Section under form,ConvSet,Anthropometry,N/A,,,,,,,,,,,
f82269c7-6a86-4c9f-93e8-4ee5aabfb5db,Disease,Section under form,ConvSet,Disease,N/A,,,,,,,,,,,
95d32271-3fd7-4695-a5a2-0bc15f829b45,ECG,Section under form,ConvSet,ECG,N/A,,,,,,,,,,,
ec5f4fae-2566-4439-9e8e-c8db6c8b6889,Lab,Section under form,ConvSet,Lab,N/A,,,,,,,,,,,
168a474f-e029-4399-beb9-1334fee17b05,Medicine,Section under form,ConvSet,Medicine,N/A,,,,,,,,,,,
88ce7b5a-1932-4d72-8a08-37b1dc10eb2f,Counselling,Section under form,ConvSet,Counselling,N/A,,,,,,,,,,,
194eee69-3507-49d3-a8c0-773d387c651f,Next visit date,Section under form,ConvSet,Next visit date,N/A,,,,,,,,,,,
b4dd115b-554f-4bb2-a7a0-3465d380e24f,Place,Section under form,ConvSet,Place,N/A,,,,,,,,,,,
4561fdf1-92db-47d5-9658-6c109e606bb0,Anthropometry,Section under form,ConvSet,Anthropometry,N/A,,,,,,,,,,,
10225fc9-e406-45f9-93ff-32c61d03788b,History,Section under form,ConvSet,History,N/A,,,,,,,,,,,
97248794-a4fd-4150-a5c1-b54602ff282d,Physical examination,Section under form,ConvSet,Physical examination,N/A,,,,,,,,,,,
ec6270f8-cfec-404a-b1e8-95237ba156dc,Labs and other investigations,Section under form,ConvSet,Labs and other investigations,N/A,,,,,,,,,,,
634f1795-d859-4cc6-a620-248d6c3de12c,Assessment,Section under form,ConvSet,Assessment,N/A,,,,,,,,,,,
ace18514-fc93-40ce-8c67-5700d24451b7,Medicine,Section under form,ConvSet,Medicine,N/A,,,,,,,,,,,
fba77db3-966e-43cf-a44e-e4b545728d08,Assessment,Section under form,ConvSet,Assessment,N/A,,,,,,,,,,,
290f7548-e933-48fe-b53c-d79ece86f8c7,Counselling,Section under form,ConvSet,Counselling,N/A,,,,,,,,,,,
807bebc4-9384-4fa1-ab2b-7640063f221c,Referral,Section under form,ConvSet,Referral,N/A,,,,,,,,,,,
c9f5b55d-02d0-41f5-b0c4-6448a5180b68,Next visit,Section under form,ConvSet,Next visit,N/A,,,,,,,,,,,
75a0377e-020b-48f2-9fa2-9ca3dd26c927,Labs,Section under form,ConvSet,Labs,N/A,,,,,,,,,,,
b89680e2-e52b-44f0-a982-20364d5106e9,Assessment,Section under form,ConvSet,Assessment,N/A,,,,,,,,,,,
8d036ad4-02c9-47bc-a4cf-ad4a01a54fc5,Details,Section under form,ConvSet,Details,N/A,,,,,,,,,,,
5ff9d6ce-9477-4259-8e47-5aef8095e074,Details,Section under form,ConvSet,Details,N/A,,,,,,,,,,,
216722eb-712c-4aeb-bef8-290502f43fbb,Medicines,Section under form,ConvSet,Medicines,N/A,,,,,,,,,,,
f224a6ec-a9f9-4cba-8652-30c970ecabfa,Next Visit,Section under form,ConvSet,Next Visit,N/A,,,,,,,,,,,
0c508649-2058-4274-9a7c-925fb5d730d4,Referral Status-1 Details,Section under form,ConvSet,Referral Status-1 Details,N/A,,,,,,,,,,,
b3d628d1-3b40-4122-aff5-8806cfc56811,Referral Status-2 Details,Section under form,ConvSet,Referral Status-2 Details,N/A,,,,,,,,,,,
14f8980b-b365-4467-8448-98fdec1b1847,Results,Section under form,ConvSet,Results,N/A,,,,,,,,,,,
54a2932e-8c29-4027-8536-8f342524599a,Health Check Up Details of Newborn,Section under form,ConvSet,Health Check Up Details of Newborn,N/A,,,,,,,,,,,
6c60d599-ea4e-4005-93a8-26e947cd36dc,Referral,Section under form,ConvSet,Referral,N/A,,,,,,,,,,,
ecbdec2f-2b39-47a8-935d-c4e9c24d7b81,Details,Section under form,ConvSet,Details,N/A,,,,,,,,,,,
990ade04-742e-4b44-a13b-f6ac1a11d028,Anthropometry,Section under form,ConvSet,Anthropometry,N/A,,,,,,,,,,,
0cddf4b7-329a-402d-8ec6-723aa6100383,Basic details,Section under form,ConvSet,Basic details,N/A,,,,,,,,,,,
9b572bfb-b0f8-4506-8cb7-39a3a8a9c8b6,Disease,Section under form,ConvSet,Disease,N/A,,,,,,,,,,,
a0f70491-faa5-4b87-8dc3-863d11f30bc9,Physical Exam,Section under form,ConvSet,Physical Exam,N/A,,,,,,,,,,,
4640dbac-5a91-4f85-81aa-d870d42f7d79,Baseline lab,Section under form,ConvSet,Baseline lab,N/A,,,,,,,,,,,
31151023-fd64-45c8-8ec2-34cc948c6c28,Medicine,Section under form,ConvSet,Medicine,N/A,,,,,,,,,,,
b53ac87f-c3f7-4e53-bd34-655fbe115a0e,Counselling,Section under form,ConvSet,Counselling,N/A,,,,,,,,,,,
a2919d53-6d8e-4b9a-92db-13732b9c90c1,Next visit details,Section under form,ConvSet,Next visit details,N/A,,,,,,,,,,,
f9193e0b-1238-466b-b304-cfffe675baed,Followup details,Section under form,ConvSet,Followup details,N/A,,,,,,,,,,,
b9ad9dd2-6949-424d-9a0c-24ec387a1b2a,Anthropometry,Section under form,ConvSet,Anthropometry,N/A,,,,,,,,,,,
7f0122cf-9830-4f30-845d-cd950a498288,Basic details,Section under form,ConvSet,Basic details,N/A,,,,,,,,,,,
5ead3c0e-4f81-492d-95e4-7c44f7edc95c,History,Section under form,ConvSet,History,N/A,,,,,,,,,,,
6e8a7911-3a7d-47a5-8ed9-bda900b35252,Physical Exam,Section under form,ConvSet,Physical Exam,N/A,,,,,,,,,,,
1d249c00-d186-487f-abe6-4332c410670e,Lab,Section under form,ConvSet,Lab,N/A,,,,,,,,,,,
f529d839-607d-4e4e-88a2-15486bfbec39,Medicine,Section under form,ConvSet,Medicine,N/A,,,,,,,,,,,
842a98f6-b16b-448a-8a7c-0dccc7bdb3ae,Counselling,Section under form,ConvSet,Counselling,N/A,,,,,,,,,,,
9e852948-5535-4f1d-9ee5-6ad22a63d589,Referral,Section under form,ConvSet,Referral,N/A,,,,,,,,,,,
9eacaf6b-f381-4311-ba3a-d229c99ef28f,Assessment,Section under form,ConvSet,Assessment,N/A,,,,,,,,,,,
ff8cf24b-06ad-4c15-af3b-333f9413fab3,Next visit details,Section under form,ConvSet,Next visit details,N/A,,,,,,,,,,,
559168d6-e34e-490b-9fcd-fa1ea8c79dc5,Referral Status-1 Details,Section under form,ConvSet,Referral Status-1 Details,N/A,,,,,,,,,,,
5d47cd50-680d-45d1-b226-d20ef4cb8b3f,Referral Status-2 Details,Section under form,ConvSet,Referral Status-2 Details,N/A,,,,,,,,,,,
66c5551a-d2c8-4c2e-83bc-f5f98ed77882,History and Examination,Section under form,ConvSet,History and Examination,N/A,,,,,,,,,,,
c84b4c0a-1800-4491-a543-0c886ecdec93,Follow up details,Section under form,ConvSet,Follow up details,N/A,,,,,,,,,,,
04bfade6-4e1b-4ecd-b4c7-8cdfe4428b8d,Next visit details,Section under form,ConvSet,Next visit details,N/A,,,,,,,,,,,
2be450be-35db-47a6-a85e-5f1feb6f44cf,Personal Details,Section under form,ConvSet,Personal Details,N/A,,,,,,,,,,,
ca39681e-b89e-420f-a72e-3e8527518b78,Individual information,Section under form,ConvSet,Individual information,N/A,,,,,,,,,,,
53b260f8-a5a9-4062-a3f7-a117ade6daee,Socio-Economic Details,Section under form,ConvSet,Socio-Economic Details,N/A,,,,,,,,,,,
dbdb305e-835e-4cd0-87c8-e504d90a7a6f,Test details,Section under form,ConvSet,Test details,N/A,,,,,,,,,,,
76f22c7a-beb5-49e5-8fad-ba4c1fc77039,Lab,Section under form,ConvSet,Lab,N/A,,,,,,,,,,,
bb0d43df-6ca2-4fa3-9ddf-b3a03eaeb449,Result,Section under form,ConvSet,Result,N/A,,,,,,,,,,,
4556df77-330c-4590-bf0d-d079d6bd3d10,Result,Section under form,ConvSet,Result,N/A,,,,,,,,,,,
05dbdc3b-e84f-4ae8-9120-6ab76cec9913,Details,Section under form,ConvSet,Details,N/A,,,,,,,,,,,
4529cdda-b79d-411e-8adc-77a341f1c7f1,Basic Details,Section under form,ConvSet,Basic Details,N/A,,,,,,,,,,,
76964dd3-b8aa-4a2c-8991-cb1b7028641f,Mother's examination,Section under form,ConvSet,Mother's examination,N/A,,,,,,,,,,,
9bebd0a2-08a2-4e03-b688-e56c449d6840,Schemes,Section under form,ConvSet,Schemes,N/A,,,,,,,,,,,
5f3c262a-a344-4f97-a633-4a389c653164,Counselling,Section under form,ConvSet,Counselling,N/A,,,,,,,,,,,
7c88c74c-feb1-48b3-8ebe-d8238b58dced,Counselling details,Section under form,ConvSet,Counselling details,N/A,,,,,,,,,,,
fc32cae8-3962-49d8-9590-dc0777407ae1,Referral,Section under form,ConvSet,Referral,N/A,,,,,,,,,,,
f48b3cbb-c6d1-4ba7-b05b-77e749821094,Health Checkup Details of Mother,Section under form,ConvSet,Health Checkup Details of Mother,N/A,,,,,,,,,,,
733f3031-3169-4a85-937d-3f09de5db09f,Referral,Section under form,ConvSet,Referral,N/A,,,,,,,,,,,
003da274-55a1-4b28-8647-2ac8d264e72c,General Information,Section under form,ConvSet,General Information,N/A,,,,,,,,,,,
72923396-d90e-4993-9489-327cc46e0f15,Obstetric details,Section under form,ConvSet,Obstetric details,N/A,,,,,,,,,,,
3e536be5-fe31-4242-b989-bb46a7c8d0e2,Previous Pregnancy Details,Section under form,ConvSet,Previous Pregnancy Details,N/A,,,,,,,,,,,
ccde20b5-79dd-4cba-80ab-754c12600237,Medical history,Section under form,ConvSet,Medical history,N/A,,,,,,,,,,,
fd46a601-47bd-4cc8-b423-03e75bb6c029,Details of ANC Visit,Section under form,ConvSet,Details of ANC Visit,N/A,,,,,,,,,,,
a18d6f6a-4594-4f95-a2c6-4c3b5b62cf9c,Counselling,Section under form,ConvSet,Counselling,N/A,,,,,,,,,,,
acb56d44-dab1-4e68-b1cf-015b48197654,Referral Status-1 Details,Section under form,ConvSet,Referral Status-1 Details,N/A,,,,,,,,,,,
b74b3408-5035-4525-ade0-a7defc9d2bd7,Referral Status-2 Details,Section under form,ConvSet,Referral Status-2 Details,N/A,,,,,,,,,,,
3e92e94f-9b99-498c-bec1-16bfe0c6fefd,Details,Section under form,ConvSet,Details,N/A,,,,,,,,,,,
50ea3104-bcae-4c9b-a5ff-02b0c29b6571,Lab Investigation,Section under form,ConvSet,Lab Investigation,N/A,,,,,,,,,,,
86d55c38-18a8-497f-81b6-84b344008588,Medicine,Section under form,ConvSet,Medicine,N/A,,,,,,,,,,,
ddaeea46-20c8-4d90-aff8-b889bb634e85,Next visit date,Section under form,ConvSet,Next visit date,N/A,,,,,,,,,,,
307e421b-d59c-4dac-b131-29ff31a45a2d,Lab Investigation,Section under form,ConvSet,Lab Investigation,N/A,,,,,,,,,,,
352d8dba-39e0-481e-9c5c-3b15bc7caa66,Details,Section under form,ConvSet,Details,N/A,,,,,,,,,,,
a6144301-bc06-4c37-8ef9-454a60d8e64e,Socio-economic Status of Family,Section under form,ConvSet,Socio-economic Status of Family,N/A,,,,,,,,,,,
d5f59838-dc4b-45f0-a2f0-9494e87e087f,Family screening,Section under form,ConvSet,Family screening,N/A,,,,,,,,,,,
3c34abab-e9ee-45b8-9faa-e558eb65e83b,Counselling,Section under form,ConvSet,Counselling,N/A,,,,,,,,,,,
