uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,synonym.1,answer.1,answer.2,answer.3,answer.4,reference-term-source,reference-term-code,reference-term-relationship
568a29bd-40fc-4261-bb85-9f9366b9be1b,Avni - Separated,,Misc,Avni - Separated,N/A,,,,,,,,,,,
4a4cc0eb-25c0-47b8-b9dd-de2dbefc1425,Avni - Unmarried,,Misc,Avni - Unmarried,N/A,,,,,,,,,,,
9329d91a-385b-4633-a788-c10ccb7d1143,Avni - Widow(er),,Misc,Avni - Widow(er),N/A,,,,,,,,,,,
9ac76826-0daa-4b90-9a9c-e269ac168005,Avni - Education 1-5,,Misc,Avni - Education 1-5,N/A,,,,,,,,,,,
d3ff5645-4c84-47f4-9f35-6d0242cd727c,Avni - Education 11-12,,Misc,Avni - Education 11-12,N/A,,,,,,,,,,,
0b2b6bb5-7eb8-4b14-bc68-662fade3aca4,Avni - Education 6-7,,Misc,Avni - Education 6-7,N/A,,,,,,,,,,,
6b941c49-349f-40f6-a4ae-bdd00f45fbba,Avni - Education 8-10,,Misc,Avni - Education 8-10,N/A,,,,,,,,,,,
ff7c5cd7-fe19-4a64-b8cb-700b4ad7a58f,Avni - Graduation,,Misc,Avni - Graduation,N/A,,,,,,,,,,,
45b68efb-635d-48ae-9fdf-64f0ea3f46db,Avni - Illiterate,,Misc,Avni - Illiterate,N/A,,,,,,,,,,,
9fa90cc8-0dc0-43ee-820f-39f8fe3ca1ec,Avni - Literate Without Schooling,,Misc,Avni - Lit No School,N/A,,,,,,,,,,,
7efbfba4-66d1-4510-9024-aaaedf439392,Avni - NA,,Misc,Avni - NA,N/A,,,,,,,,,,,
4c9f0571-a3ce-4026-854e-a28b388b0c0f,Avni - Post Graduation,,Misc,Avni - Post Grad,N/A,,,,,,,,,,,
1100010c-b1fe-4d14-a2ec-c46a8af3cbb1,Avni - Daily Wage Labourer,,Misc,Avni - Daily Wage,N/A,,,,,,,,,,,
f021800c-b3f5-4c70-b90a-dcbb83227b55,Avni - Farmer,,Misc,Avni - Farmer,N/A,,,,,,,,,,,
fd6a3706-f1f3-4f86-96a3-80b6866612a2,Avni - Government Job,,Misc,Avni - Govt Job,N/A,,,,,,,,,,,
0bef903a-20e5-4efa-940a-37d419f68f7c,Avni - Private Job,,Misc,Avni - Private Job,N/A,,,,,,,,,,,
2a5dc992-7a1e-4fb2-9a9d-3093f7c9fca3,Avni - Professional/Technical,,Misc,Avni - Professional,N/A,,,,,,,,,,,
4a13e345-7d13-4649-a370-1722a596d0fe,Avni - Shopkeeper,,Misc,Avni - Shopkeeper,N/A,,,,,,,,,,,
84000e44-81ea-425f-8c88-9e4b111a5570,Avni - Skilled Manual,,Misc,Avni - Skilled Manual,N/A,,,,,,,,,,,
fc63152f-457d-4392-aa80-87e6fd19f20a,Avni - Unemployed,,Misc,Avni - Unemployed,N/A,,,,,,,,,,,
78b4a024-82af-42fe-bf58-6da696073af9,Avni - Antyodaya,,Misc,Avni - Antyodaya,N/A,,,,,,,,,,,
3eac5822-f5fe-421d-8cdd-e89bef20baca,Avni - APL,,Misc,Avni - APL,N/A,,,,,,,,,,,
906f6286-515b-4ff5-8065-0fcedef003b9,Avni - BPL,,Misc,Avni - BPL,N/A,,,,,,,,,,,
7f731647-b8f8-4d5b-be2d-8d3ebd9cba05,Avni - Aadha Kacha Pakka,,Misc,Avni - Aadha Kacha,N/A,,,,,,,,,,,
65b3e4db-3c4e-4a56-9a2f-c07e9888e710,Avni - Kaccha,,Misc,Avni - Kaccha,N/A,,,,,,,,,,,
bc43ce86-7cd4-474c-bced-8a5af0a4cb87,Avni - Pakka,,Misc,Avni - Pakka,N/A,,,,,,,,,,,
03c61006-8dc8-449e-9486-ecfba3e84f99,Avni - 2 Wheeler,,Misc,Avni - 2 Wheeler,N/A,,,,,,,,,,,
ad8156fd-c3ac-461c-8611-a5cf4cfbcc7e,Avni - 4 Wheeler,,Misc,Avni - 4 Wheeler,N/A,,,,,,,,,,,
12ee51fa-d8a5-4c8d-b88a-3a9c2f0dfaf1,Avni - Cycle,,Misc,Avni - Cycle,N/A,,,,,,,,,,,
3b4d35f0-ef97-4954-8ee2-69d5db4894e6,Avni - Fridge,,Misc,Avni - Fridge,N/A,,,,,,,,,,,
94099e11-6e9e-4c9e-9a68-83dee9d6042a,Avni - Generator,,Misc,Avni - Generator,N/A,,,,,,,,,,,
8b77f487-c885-4b54-8925-153733913b10,Avni - None,,Misc,Avni - None,N/A,,,,,,,,,,,
345821de-b302-4df3-9754-c555dfa530a3,Avni - Tractor,,Misc,Avni - Tractor,N/A,,,,,,,,,,,
a8a31361-df8c-4b6e-8075-639f436d0b3f,Avni - Birth Status,,Misc,Avni - Birth Status,N/A,,,,,,,,,,,
c125eec0-2bc4-4add-b1d0-7531e5ffa9c8,Avni - Death Status,,Misc,Avni - Death Status,N/A,,,,,,,,,,,
4d5e83b5-ddc3-4668-930f-96da0cce7763,Avni - Female Marriage,,Misc,Avni - Female Marriage,N/A,,,,,,,,,,,
285a38f0-52a1-4021-90cc-3ba8cbe88371,Avni - In Migrant,,Misc,Avni - In Migrant,N/A,,,,,,,,,,,
e57e1f8d-0a6c-4470-b692-3dc82cce0dfc,Avni - Out Migrant,,Misc,Avni - Out Migrant,N/A,,,,,,,,,,,
cc8a0f5e-be37-4e6a-8f49-41c9f7d2f839,Avni - Resident,,Misc,Avni - Resident,N/A,,,,,,,,,,,
6609670d-cd0e-414d-afde-af1d491d8b97,Avni - Arthritis,,Misc,Avni - Arthritis,N/A,,,,,,,,,,,
33f8f979-d573-4aed-808f-e241dc53179f,Avni - Back Pain,,Misc,Avni - Back Pain,N/A,,,,,,,,,,,
33abbad1-4e96-4e80-951d-832607accfc5,Avni - Cerebral Palsy,,Misc,Avni - Cerebral Palsy,N/A,,,,,,,,,,,
d15dcefe-df9a-4bdc-9775-118bc57990ed,Avni - Hearing Impairement,,Misc,Avni - Hearing Impair,N/A,,,,,,,,,,,
03e03f5d-4975-4d64-82fe-4c825cf1852c,Avni - Locomotor,,Misc,Avni - Locomotor,N/A,,,,,,,,,,,
2c8705d4-b7f5-4d08-a515-cd8dbd4207d8,Avni - Mental Illness,,Misc,Avni - Mental Illness,N/A,,,,,,,,,,,
7fb6744e-24c7-461f-9091-6c66156ebea0,Avni - Mental Retardation,,Misc,Avni - Mental Retard,N/A,,,,,,,,,,,
c48b441b-5b7e-4c8c-9c6d-b91c3a7941fe,Avni - Paralysis,,Misc,Avni - Paralysis,N/A,,,,,,,,,,,
5b5fbb3d-1fe7-4711-bfce-77bbc465b832,Avni - Post Burn,,Misc,Avni - Post Burn,N/A,,,,,,,,,,,
17b4f868-4a61-4316-9338-4c458b0e45b5,Avni - Post Fracture,,Misc,Avni - Post Fracture,N/A,,,,,,,,,,,
9bcbb18e-b680-45bf-a6b5-d9d47e7cca1b,Avni - Post Operative,,Misc,Avni - Post Operative,N/A,,,,,,,,,,,
301ec1f5-9d8e-4fbf-8f2b-f3c883457622,Avni - Speech Impairement,,Misc,Avni - Speech Impair,N/A,,,,,,,,,,,
18da1ae2-ec99-40dc-af1f-f6f86e5fc399,Avni - Vision Impairement,,Misc,Avni - Vision Impair,N/A,,,,,,,,,,,
2b90b234-8a63-4d4c-92d0-6389d8b1fb78,Avni - Baiga,,Misc,Avni - Baiga,N/A,,,,,,,,,,,
7335b4a6-fd22-4061-ba4f-54c5f3d1bfbe,Avni - Gond,,Misc,Avni - Gond,N/A,,,,,,,,,,,
0bebd451-d11f-404e-9207-6bd189eb83cf,Avni - Oraon,,Misc,Avni - Oraon,N/A,,,,,,,,,,,
0e03a56d-dfca-4365-b10b-d1bc8390ff87,Avni - Patel,,Misc,Avni - Patel,N/A,,,,,,,,,,,
38e6aaf2-d6cd-4a7b-9087-4bdc3df31ece,Avni - Satnami,,Misc,Avni - Satnami,N/A,,,,,,,,,,,
65b5abfa-9229-48bf-8ed7-40e715840302,Avni - Yadav,,Misc,Avni - Yadav,N/A,,,,,,,,,,,
